順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
68,田口　麗斗,30,投手,ヤクルト,1億7500万円,175000000
69,佐野　恵太,31,外野手,DeNA,1億7000万円,170000000
70,万波　中正,26,外野手,日本ハム,1億6500万円,165000000
71,平野　佳寿,42,投手,オリックス,1億6500万円,165000000
72,森下　暢仁,28,投手,広島,1億6500万円,165000000
73,梅野　隆太郎,34,捕手,阪神,1億6000万円,160000000
74,田中　将大,37,投手,巨人,1億6000万円,160000000
75,大城　卓三,33,捕手,巨人,1億6000万円,160000000
76,外崎　修汰,33,内野手,西武,1億6000万円,160000000
77,Ｌ．セデーニョ,27,内野手,西武,1億6000万円,160000000
78,栗林　良吏,29,投手,広島,1億6000万円,160000000
79,小島　和哉,29,投手,ロッテ,1億6000万円,160000000
80,西野　勇士,35,投手,ロッテ,1億5000万円,150000000
81,佐藤　輝明,27,内野手,阪神,1億5000万円,150000000
82,Ｓ．ハワード,29,投手,楽天,1億5000万円,150000000
83,Ａ．バルドナード,33,投手,巨人,1億5000万円,150000000
84,高梨　雄平,33,投手,巨人,1億5000万円,150000000
85,Ａ．ケイ,31,投手,DeNA,1億5000万円,150000000
86,又吉　克樹,35,投手,ソフトバンク,1億5000万円,150000000
87,東浜　巨,35,投手,ソフトバンク,1億5000万円,150000000
88,武田　翔太,33,投手,ソフトバンク,1億5000万円,150000000
89,床田　寛樹,31,投手,広島,1億5000万円,150000000
90,Ｍ．バウマン,30,投手,ヤクルト,1億5000万円,150000000
91,中村　悠平,35,捕手,ヤクルト,1億5000万円,150000000
92,栗原　陵矢,29,内野手,ソフトバンク,1億5000万円,150000000
93,坂倉　将吾,27,捕手,広島,1億5000万円,150000000
94,Ｅ．オリバレス,30,外野手,オリックス,1億5000万円,150000000
95,中野　拓夢,29,内野手,阪神,1億4500万円,145000000
96,Ｒ．ウィック,33,投手,DeNA,1億4300万円,143000000
97,伊藤　将司,30,投手,阪神,1億4000万円,140000000
98,九里　亜蓮,34,投手,オリックス,1億4000万円,140000000
99,Ｎ．ネルソン,30,投手,阪神,1億3500万円,135000000
100,Ｅ．ラミレス,31,投手,西武,1億3000万円,130000000
101,若月　健矢,30,捕手,オリックス,1億3000万円,130000000
102,Ｅ．モンテロ,27,内野手,広島,1億3000万円,130000000
103,石川　柊太,34,投手,ロッテ,1億2000万円,120000000
104,髙橋　宏斗,23,投手,中日,1億2000万円,120000000
105,才木　浩人,27,投手,阪神,1億2000万円,120000000
106,大野　雄大,37,投手,中日,1億2000万円,120000000
107,Ｔ．ウィンゲンター,32,投手,西武,1億2000万円,120000000
108,Ｅ．ヘルナンデス,31,外野手,巨人,1億2000万円,120000000
109,Ｍ．フランコ,33,内野手,楽天,1億2000万円,120000000
110,桑原　将志,32,外野手,DeNA,1億2000万円,120000000
111,Ｊ．デュプランティエ,31,投手,阪神,1億1600万円,116000000
112,Ｔ．ハーン,31,投手,広島,1億1500万円,115000000
113,柳　裕也,32,投手,中日,1億1000万円,110000000
114,松本　剛,32,外野手,日本ハム,1億1000万円,110000000
115,Ｍ．ヤフーレ,28,投手,楽天,1億1000万円,110000000
116,小川　泰弘,36,投手,ヤクルト,1億1000万円,110000000
117,松本　裕樹,30,投手,ソフトバンク,1億1000万円,110000000
118,周東　佑京,30,内野手,ソフトバンク,1億1000万円,110000000
119,Ｓ．ファビアン,28,外野手,広島,1億800万円,108000000
120,Ｎ．ターリー,36,投手,楽天,1億500万円,105000000
121,Ｂ．サモンズ,31,投手,ロッテ,1億円,100000000
122,坂本　誠志郎,32,捕手,阪神,1億円,100000000
123,Ｈ．メヒア,29,投手,中日,1億円,100000000
124,Ｋ．マラー,28,投手,中日,1億円,100000000
125,Ｔ．ゲレーロ,35,投手,ロッテ,1億円,100000000
126,大島　洋平,40,外野手,中日,1億円,100000000
127,Ｊ．ボスラー,32,外野手,中日,1億円,100000000
128,伏見　寅威,36,捕手,日本ハム,1億円,100000000
129,石田　健大,33,投手,DeNA,1億円,100000000
130,宋　家豪,33,投手,楽天,1億円,100000000
131,森原　康平,34,投手,DeNA,1億円,100000000
132,中村　剛也,42,内野手,西武,1億円,100000000
133,Ａ．エスピノーザ,28,投手,オリックス,1億円,100000000
134,田嶋　大樹,29,投手,オリックス,1億円,100000000
135,Ｌ．ペルドモ,33,投手,オリックス,1億円,100000000
136,牧原　大成,33,内野手,ソフトバンク,1億円,100000000
137,中村　晃,36,外野手,ソフトバンク,1億円,100000000
138,岩貞　祐太,34,投手,阪神,1億円,100000000
139,清水　達也,26,投手,中日,9500万円,95000000
140,伊勢　大夢,28,投手,DeNA,9250万円,92500000
141,細川　成也,27,外野手,中日,9200万円,92000000
142,長岡　秀樹,24,内野手,ヤクルト,9200万円,92000000
143,涌井　秀章,39,投手,中日,9000万円,90000000
144,大竹　耕太郎,30,投手,阪神,9000万円,90000000
145,河野　竜生,27,投手,日本ハム,9000万円,90000000
146,Ｏ．カリステ,34,内野手,中日,9000万円,90000000
147,大勢 （翁田　大勢）,26,投手,巨人,9000万円,90000000
148,山﨑　伊織,27,投手,巨人,9000万円,90000000
149,隅田　知一郎,26,投手,西武,9000万円,90000000
150,平井　克典,34,投手,西武,9000万円,90000000
151,小深田　大翔,30,内野手,楽天,9000万円,90000000
152,石山　泰稚,37,投手,ヤクルト,9000万円,90000000
153,清水　昇,29,投手,ヤクルト,9000万円,90000000
154,大関　友久,28,投手,ソフトバンク,9000万円,90000000
155,小園　海斗,25,内野手,広島,9000万円,90000000
156,石川　歩,38,投手,ロッテ,9000万円,90000000
157,桐敷　拓馬,26,投手,阪神,8800万円,88000000
158,島内　颯太郎,29,投手,広島,8800万円,88000000
159,種市　篤暉,27,投手,ロッテ,8500万円,85000000
160,藤嶋　健人,28,投手,中日,8500万円,85000000
161,藤岡　裕大,32,内野手,ロッテ,8500万円,85000000
162,中川　皓太,32,投手,巨人,8500万円,85000000
163,石井　大智,28,投手,阪神,8200万円,82000000
164,村上　頌樹,27,投手,阪神,8000万円,80000000
165,佐藤　都志也,28,捕手,ロッテ,8000万円,80000000
166,清宮　幸太郎,27,内野手,日本ハム,8000万円,80000000
167,酒居　知史,33,投手,楽天,8000万円,80000000
168,辛島　航,35,投手,楽天,8000万円,80000000
169,栗山　巧,42,外野手,西武,8000万円,80000000
170,會澤　翼,38,捕手,広島,8000万円,80000000
171,Ｊ．ディアス,25,内野手,オリックス,8000万円,80000000
172,野間　峻祥,33,外野手,広島,8000万円,80000000
173,紅林　弘太郎,24,内野手,オリックス,7900万円,79000000
174,森下　翔太,25,外野手,阪神,7800万円,78000000
175,Ｊ．ドミンゲス,30,投手,広島,7700万円,77000000
176,祖父江　大輔,38,投手,中日,7500万円,75000000
177,戸柱　恭孝,36,捕手,DeNA,7500万円,75000000
178,嶺井　博希,34,捕手,ソフトバンク,7500万円,75000000
179,津森　宥紀,28,投手,ソフトバンク,7300万円,73000000
180,宗　佑磨,29,内野手,オリックス,7300万円,73000000
181,田中　正義,31,投手,日本ハム,7200万円,72000000
182,大貫　晋一,32,投手,DeNA,7200万円,72000000
183,国吉　佑樹,34,投手,ロッテ,7000万円,70000000
184,杉浦　稔大,34,投手,日本ハム,7000万円,70000000
185,田村　龍弘,32,捕手,ロッテ,7000万円,70000000
186,木下　拓哉,34,捕手,中日,7000万円,70000000
187,糸原　健斗,33,内野手,阪神,7000万円,70000000
188,荻野　貴司,40,外野手,ロッテ,7000万円,70000000
189,岡林　勇希,24,外野手,中日,7000万円,70000000
190,岡　大海,34,外野手,ロッテ,7000万円,70000000
191,早川　隆久,27,投手,楽天,7000万円,70000000
192,木澤　尚文,28,投手,ヤクルト,7000万円,70000000
193,藤井　皓哉,29,投手,ソフトバンク,7000万円,70000000
194,Ｊ．ダウンズ,27,内野手,ソフトバンク,7000万円,70000000
195,頓宮　裕真,29,捕手,オリックス,7000万円,70000000
196,茂木　栄五郎,32,内野手,ヤクルト,7000万円,70000000
197,中川　圭太,30,内野手,オリックス,7000万円,70000000
198,山岡　泰輔,30,投手,オリックス,6800万円,68000000
199,杉本　裕太郎,35,外野手,オリックス,6700万円,67000000
200,角中　勝也,39,外野手,ロッテ,6600万円,66000000
201,小郷　裕哉,29,外野手,楽天,6600万円,66000000
202,山田　修義,34,投手,オリックス,6600万円,66000000
203,宮西　尚生,40,投手,日本ハム,6500万円,65000000
204,木浪　聖也,31,内野手,阪神,6500万円,65000000
205,三嶋　一輝,36,投手,DeNA,6500万円,65000000
206,鈴木　翔天,29,投手,楽天,6500万円,65000000
207,大西　広樹,28,投手,ヤクルト,6400万円,64000000
208,阿部　寿樹,36,内野手,楽天,6300万円,63000000
209,森浦　大輔,27,投手,広島,6300万円,63000000
210,Ｎ．ウォルターズ,29,投手,中日,6000万円,60000000
211,古林　睿煬,25,投手,日本ハム,6000万円,60000000
212,高橋　周平,32,内野手,中日,6000万円,60000000
213,Ａ．ザバラ,29,投手,日本ハム,6000万円,60000000
214,京田　陽太,32,内野手,DeNA,6000万円,60000000
215,堂林　翔太,34,内野手,広島,6000万円,60000000
216,唐川　侑己,36,投手,ロッテ,5800万円,58000000
217,村林　一輝,28,内野手,楽天,5800万円,58000000
218,高橋　奎二,29,投手,ヤクルト,5800万円,58000000
219,池田　隆英,31,投手,日本ハム,5700万円,57000000
220,太田　光,29,捕手,楽天,5700万円,57000000
221,塩見　泰隆,32,外野手,ヤクルト,5700万円,57000000
222,船迫　大雅,29,投手,巨人,5600万円,56000000
223,郡司　裕也,28,捕手,日本ハム,5500万円,55000000
224,大津　亮介,27,投手,ソフトバンク,5500万円,55000000
225,鈴木　昭汰,27,投手,ロッテ,5400万円,54000000
226,山本　祐大,27,捕手,DeNA,5400万円,54000000
227,関根　大気,30,外野手,DeNA,5350万円,53500000
228,山﨑　颯一郎,27,投手,オリックス,5300万円,53000000
229,矢野　雅哉,27,内野手,広島,5300万円,53000000
230,松本　航,29,投手,西武,5200万円,52000000
231,伊藤　光,37,捕手,DeNA,5200万円,52000000
232,中﨑　翔太,33,投手,広島,5200万円,52000000
233,小澤　怜史,28,投手,ヤクルト,5200万円,52000000
234,松葉　貴大,35,投手,中日,5000万円,50000000
235,松山　晋也,25,投手,中日,5000万円,50000000
236,長野　久義,41,外野手,巨人,5000万円,50000000
237,吉村　貢司郎,28,投手,ヤクルト,5000万円,50000000
238,西野　真弘,35,内野手,オリックス,5000万円,50000000
239,福田　周平,33,外野手,オリックス,5000万円,50000000
240,阿部　翔太,33,投手,オリックス,4800万円,48000000
241,矢崎　拓也,31,投手,ヤクルト,4800万円,48000000
242,Ｒ．ヘルナンデス,30,内野手,阪神,4700万円,47000000
243,藤原　恭大,26,外野手,ロッテ,4700万円,47000000
244,柴田　竜拓,32,内野手,DeNA,4700万円,47000000
245,北山　亘基,27,投手,日本ハム,4600万円,46000000
246,古賀　悠斗,26,捕手,西武,4600万円,46000000
247,濵口　遥大,31,投手,ソフトバンク,4600万円,46000000
248,島本　浩也,33,投手,阪神,4500万円,45000000
249,齋藤　綱記,29,投手,中日,4500万円,45000000
250,安田　尚憲,27,内野手,ロッテ,4500万円,45000000
251,武内　夏暉,24,投手,西武,4500万円,45000000
252,門脇　誠,25,内野手,巨人,4500万円,45000000
253,島内　宏明,36,外野手,楽天,4500万円,45000000
254,上川畑　大悟,29,内野手,日本ハム,4400万円,44000000
255,泉　圭輔,29,投手,巨人,4350万円,43500000
256,野村　佑希,25,内野手,日本ハム,4300万円,43000000
257,岸田　行倫,29,捕手,巨人,4300万円,43000000
258,佐藤　隼輔,26,投手,西武,4300万円,43000000
259,三森　大貴,27,内野手,DeNA,4300万円,43000000
260,岡島　豪郎,36,外野手,楽天,4300万円,43000000
261,柳町　達,29,外野手,ソフトバンク,4200万円,42000000
262,岩下　大輝,29,投手,ロッテ,4000万円,40000000
263,宇佐見　真吾,32,捕手,中日,4000万円,40000000
264,渡邉　諒,31,内野手,阪神,4000万円,40000000
265,原口　文仁,34,内野手,阪神,4000万円,40000000
266,石井　一成,32,内野手,日本ハム,4000万円,40000000
267,渡辺　翔太,25,投手,楽天,4000万円,40000000
268,森　唯斗,34,投手,DeNA,4000万円,40000000
269,藤平　尚真,27,投手,楽天,4000万円,40000000
270,小林　誠司,36,捕手,巨人,4000万円,40000000
271,ボー・タカハシ,29,投手,西武,4000万円,40000000
272,炭谷　銀仁朗,38,捕手,西武,4000万円,40000000
273,杉山　一樹,28,投手,ソフトバンク,4000万円,40000000
274,石川　雅規,46,投手,ヤクルト,4000万円,40000000
275,塹江　敦哉,29,投手,広島,4000万円,40000000
276,大城　滉二,32,内野手,オリックス,4000万円,40000000
277,美馬　学,39,投手,ロッテ,4000万円,40000000
278,上茶谷　大河,29,投手,ソフトバンク,3900万円,39000000
279,坂本　光士郎,31,投手,ロッテ,3800万円,38000000
280,勝野　昌慶,28,投手,中日,3800万円,38000000
281,横山　陸人,24,投手,ロッテ,3800万円,38000000
282,曽谷　龍平,25,投手,オリックス,3800万円,38000000
283,川瀬　晃,28,内野手,ソフトバンク,3800万円,38000000
284,湯浅　京己,26,投手,阪神,3700万円,37000000
285,高橋　礼,30,投手,巨人,3700万円,37000000
286,坂本　裕哉,28,投手,DeNA,3700万円,37000000
287,藤井　聖,29,投手,楽天,3700万円,37000000
288,宇田川　優希,27,投手,オリックス,3700万円,37000000
289,吉田　輝星,25,投手,オリックス,3700万円,37000000
290,上本　崇司,35,内野手,広島,3700万円,37000000
291,上原　健太,32,投手,日本ハム,3600万円,36000000
292,金村　尚真,25,投手,日本ハム,3600万円,36000000
293,山下　舜平大,23,投手,オリックス,3600万円,36000000
294,末包　昇大,30,外野手,広島,3600万円,36000000
295,西村　天裕,33,投手,ロッテ,3500万円,35000000
296,福永　裕基,29,内野手,中日,3500万円,35000000
297,山口　航輝,25,外野手,ロッテ,3500万円,35000000
298,近藤　大亮,34,投手,巨人,3500万円,35000000
299,佐々木　千隼,31,投手,DeNA,3500万円,35000000
300,甲斐野　央,29,投手,西武,3500万円,35000000
301,古田島　成龍,26,投手,オリックス,3500万円,35000000
302,松山　竜平,40,外野手,広島,3500万円,35000000
303,今村　信貴,32,投手,巨人,3400万円,34000000
304,井上　温大,25,投手,巨人,3400万円,34000000
305,佐藤　龍世,29,内野手,西武,3400万円,34000000
306,黒原　拓未,26,投手,広島,3400万円,34000000
307,アドゥワ　誠,27,投手,広島,3400万円,34000000
308,入江　大生,27,投手,DeNA,3350万円,33500000
309,福　敬登,33,投手,中日,3300万円,33000000
310,玉井　大翔,33,投手,日本ハム,3300万円,33000000
311,堀　瑞輝,28,投手,日本ハム,3300万円,33000000
312,村松　開人,25,内野手,中日,3300万円,33000000
313,髙部　瑛斗,28,外野手,ロッテ,3300万円,33000000
314,赤星　優志,26,投手,巨人,3300万円,33000000
315,西川　遥輝,34,外野手,ヤクルト,3300万円,33000000
316,島田　海吏,30,外野手,阪神,3200万円,32000000
317,山本　拓実,26,投手,日本ハム,3200万円,32000000
318,前川　右京,23,外野手,阪神,3200万円,32000000
319,平内　龍太,27,投手,巨人,3200万円,32000000
320,板東　湧梧,30,投手,ソフトバンク,3200万円,32000000
321,太田　椋,25,内野手,オリックス,3200万円,32000000
322,内　星龍,24,投手,楽天,3100万円,31000000
323,及川　雅貴,25,投手,阪神,3000万円,30000000
324,小野　郁,29,投手,ロッテ,3000万円,30000000
325,友杉　篤輝,25,内野手,ロッテ,3000万円,30000000
326,石川　昂弥,24,内野手,中日,3000万円,30000000
327,田宮　裕涼,25,捕手,日本ハム,3000万円,30000000
328,水野　達稀,25,内野手,日本ハム,3000万円,30000000
329,重信　慎之介,33,外野手,巨人,3000万円,30000000
330,水上　由伸,27,投手,西武,3000万円,30000000
331,神里　和毅,32,外野手,DeNA,3000万円,30000000
332,田中　和基,31,外野手,楽天,3000万円,30000000
333,高梨　裕稔,34,投手,ヤクルト,3000万円,30000000
334,小木田　敦也,27,投手,オリックス,3000万円,30000000
335,山本　大貴,30,投手,ヤクルト,3000万円,30000000
336,田中　広輔,36,内野手,広島,3000万円,30000000
337,正木　智也,26,外野手,ソフトバンク,3000万円,30000000
338,西　純矢,24,投手,阪神,3000万円,30000000
339,生田目　翼,31,投手,日本ハム,2900万円,29000000
340,馬場　皐輔,31,投手,巨人,2900万円,29000000
341,本田　圭佑,33,投手,オリックス,2900万円,29000000
342,岩嵜　翔,36,投手,中日,2800万円,28000000
343,富田　蓮,24,投手,阪神,2800万円,28000000
344,西舘　勇陽,24,投手,巨人,2800万円,28000000
345,淺間　大基,29,外野手,日本ハム,2800万円,28000000
346,浜地　真澄,28,投手,DeNA,2800万円,28000000
347,瀧中　瞭太,31,投手,楽天,2800万円,28000000
348,星　知弥,32,投手,ヤクルト,2800万円,28000000
349,橋本　侑樹,28,投手,中日,2700万円,27000000
350,二木　康太,30,投手,ロッテ,2700万円,27000000
351,水谷　瞬,25,外野手,日本ハム,2700万円,27000000
352,荘司　康誠,25,投手,楽天,2700万円,27000000
353,今野　龍太,31,投手,楽天,2700万円,27000000
354,蝦名　達夫,28,外野手,DeNA,2700万円,27000000
355,博志（鈴木　博志）,29,投手,オリックス,2700万円,27000000
356,鈴木　健矢,28,投手,広島,2700万円,27000000
357,石川　慎吾,33,外野手,ロッテ,2600万円,26000000
358,愛斗（武田　愛斗）,29,外野手,ロッテ,2600万円,26000000
359,平良　拳太郎,30,投手,DeNA,2600万円,26000000
360,度会　隆輝,23,外野手,DeNA,2600万円,26000000
361,本田　仁海,26,投手,オリックス,2600万円,26000000
362,海野　隆司,28,捕手,ソフトバンク,2600万円,26000000
363,玉村　昇悟,25,投手,広島,2600万円,26000000
364,丸山　和郁,26,外野手,ヤクルト,2600万円,26000000
365,髙橋　遥人,30,投手,阪神,2500万円,25000000
366,漆原　大晟,29,投手,阪神,2500万円,25000000
367,梅野　雄吾,27,投手,中日,2500万円,25000000
368,小幡　竜平,25,内野手,阪神,2500万円,25000000
369,齋藤　友貴哉,31,投手,日本ハム,2500万円,25000000
370,小川　龍成,28,内野手,ロッテ,2500万円,25000000
371,和田　康士朗,27,外野手,ロッテ,2500万円,25000000
372,中島　卓也,35,内野手,日本ハム,2500万円,25000000
373,與座　海人,30,投手,西武,2500万円,25000000
374,長谷川　威展,26,投手,ソフトバンク,2500万円,25000000
375,大江　竜聖,27,投手,巨人,2450万円,24500000
376,京山　将弥,27,投手,DeNA,2450万円,24500000
377,増田　大輝,32,内野手,巨人,2450万円,24500000
378,秋広　優人,23,内野手,巨人,2450万円,24500000
379,清水　優心,30,捕手,日本ハム,2400万円,24000000
380,五十幡　亮汰,27,外野手,日本ハム,2400万円,24000000
381,オコエ　瑠偉,28,外野手,巨人,2400万円,24000000
382,菊地　大稀,26,投手,巨人,2400万円,24000000
383,蛭間　拓哉,25,外野手,西武,2400万円,24000000
384,東　晃平,26,投手,オリックス,2400万円,24000000
385,岸　潤一郎,29,外野手,西武,2400万円,24000000
386,大道　温貴,27,投手,広島,2400万円,24000000
387,田浦　文丸,26,投手,ソフトバンク,2400万円,24000000
388,井口　和朋,32,投手,オリックス,2400万円,24000000
389,原　樹理,32,投手,ヤクルト,2400万円,24000000
390,川端　慎吾,38,内野手,ヤクルト,2400万円,24000000
391,東妻　勇輔,30,投手,ロッテ,2300万円,23000000
392,古謝　樹,24,投手,楽天,2300万円,23000000
393,森　敬斗,24,内野手,DeNA,2300万円,23000000
394,羽月　隆太郎,26,内野手,広島,2300万円,23000000
395,宮本　丈,31,内野手,ヤクルト,2300万円,23000000
396,中山　礼都,24,内野手,巨人,2260万円,22600000
397,中村　稔弥,29,投手,ロッテ,2200万円,22000000
398,加藤　匠馬,34,捕手,中日,2200万円,22000000
399,泉口　友汰,27,内野手,巨人,2200万円,22000000
400,梶原　昂希,26,外野手,DeNA,2200万円,22000000
401,西川　愛也,26,外野手,西武,2200万円,22000000
402,内山　壮真,23,捕手,ヤクルト,2200万円,22000000
403,廣岡　大志,29,内野手,オリックス,2200万円,22000000
404,植田　海,30,内野手,阪神,2100万円,21000000
405,柘植　世那,28,捕手,西武,2100万円,21000000
406,奥川　恭伸,25,投手,ヤクルト,2100万円,21000000
407,ケムナ　誠,30,投手,広島,2100万円,21000000
408,磯村　嘉孝,33,捕手,広島,2100万円,21000000
409,野村　勇,29,内野手,ソフトバンク,2100万円,21000000
410,川村　友斗,26,外野手,ソフトバンク,2050万円,20500000
411,菊地　吏玖,25,投手,ロッテ,2000万円,20000000
412,畠　世周,31,投手,阪神,2000万円,20000000
413,岡留　英貴,26,投手,阪神,2000万円,20000000
414,福谷　浩司,35,投手,日本ハム,2000万円,20000000
415,茶谷　健太,28,内野手,ロッテ,2000万円,20000000
416,山本　泰寛,32,内野手,中日,2000万円,20000000
417,徳山　壮磨,26,投手,DeNA,2000万円,20000000
418,渡邉　勇太朗,25,投手,西武,2000万円,20000000
419,山﨑　剛,30,内野手,楽天,2000万円,20000000
420,松原　聖弥,31,外野手,西武,2000万円,20000000
421,森脇　亮介,33,投手,西武,2000万円,20000000
422,森　翔平,28,投手,広島,2000万円,20000000
423,髙島　泰都,26,投手,オリックス,2000万円,20000000
424,野口　智哉,26,内野手,オリックス,2000万円,20000000
425,大盛　穂,29,外野手,広島,2000万円,20000000
426,伊藤　裕季也,29,内野手,楽天,1950万円,19500000
427,澤田　圭佑,32,投手,ロッテ,1940万円,19400000
428,熊谷　敬宥,30,内野手,阪神,1900万円,19000000
429,駿太（後藤　駿太）,33,外野手,中日,1900万円,19000000
430,横川　凱,25,投手,巨人,1900万円,19000000
431,林　琢真,25,内野手,DeNA,1900万円,19000000
432,萩尾　匡也,25,外野手,巨人,1900万円,19000000
433,平沼　翔太,28,外野手,西武,1900万円,19000000
434,遠藤　淳志,27,投手,広島,1900万円,19000000
435,松本　直樹,32,捕手,ヤクルト,1900万円,19000000
436,石原　貴規,28,捕手,広島,1900万円,19000000
437,山足　達也,32,内野手,広島,1900万円,19000000
438,田中　幹也,25,内野手,中日,1850万円,18500000
439,佐々木　俊輔,26,外野手,巨人,1840万円,18400000
440,福田　俊,29,投手,日本ハム,1800万円,18000000
441,楠本　泰史,30,外野手,阪神,1800万円,18000000
442,若林　晃弘,32,内野手,日本ハム,1800万円,18000000
443,田村　伊知郎,31,投手,西武,1800万円,18000000
444,浅野　翔吾,21,外野手,巨人,1800万円,18000000
445,若林　楽人,28,外野手,巨人,1800万円,18000000
446,渡邊　佳明,29,内野手,楽天,1800万円,18000000
447,矢澤　宏太,25,投手,日本ハム,1750万円,17500000
448,上林　誠知,30,外野手,中日,1750万円,17500000
449,松川　虎生,22,捕手,ロッテ,1700万円,17000000
450,奈良間　大己,26,内野手,日本ハム,1700万円,17000000
451,弓削　隼人,32,投手,楽天,1700万円,17000000
452,石原　彪,27,捕手,楽天,1700万円,17000000
453,北村　拓己,30,内野手,ヤクルト,1700万円,17000000
454,佐野　皓大,29,外野手,オリックス,1700万円,17000000
455,堀田　賢慎,25,投手,巨人,1660万円,16600000
456,上田　希由翔,24,内野手,ロッテ,1650万円,16500000
457,金丸　夢斗,23,投手,中日,1600万円,16000000
458,廣畑　敦也,28,投手,ロッテ,1600万円,16000000
459,中森　俊介,23,投手,ロッテ,1600万円,16000000
460,石川　直也,29,投手,日本ハム,1600万円,16000000
461,西川　史礁,23,外野手,ロッテ,1600万円,16000000
462,福島　蓮,23,投手,日本ハム,1600万円,16000000
463,柳川　大晟,22,投手,日本ハム,1600万円,16000000
464,竹田　祐,26,投手,DeNA,1600万円,16000000
465,加治屋　蓮,34,投手,楽天,1600万円,16000000
466,石川　達也,28,投手,巨人,1600万円,16000000
