順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
1,Ｒ．マルティネス,29,投手,巨人,12億円,1200000000
2,Ｌ．モイネロ,30,投手,ソフトバンク,10億円,1000000000
3,Ｒ．オスナ,31,投手,ソフトバンク,10億円,1000000000
4,Ｔ．バウアー,35,投手,DeNA,9億円,900000000
5,Ｃ．スチュワート・ジュニア,26,投手,ソフトバンク,7億円,700000000
6,村上　宗隆,26,内野手,ヤクルト,6億円,600000000
7,近藤　健介,32,外野手,ソフトバンク,5億5000万円,550000000
8,岡本　和真,29,内野手,巨人,5億4000万円,540000000
9,坂本　勇人,37,内野手,巨人,5億円,500000000
10,浅村　栄斗,35,内野手,楽天,5億円,500000000
11,山田　哲人,33,内野手,ヤクルト,5億円,500000000
12,Ｔ．オースティン,34,内野手,DeNA,4億9500万円,495000000
13,Ｄ．サンタナ,33,外野手,ヤクルト,4億7700万円,477000000
14,柳田　悠岐,37,外野手,ソフトバンク,4億7000万円,470000000
15,山川　穂高,34,内野手,ソフトバンク,4億5000万円,450000000
16,Ｊ．オスナ,33,内野手,ヤクルト,4億3700万円,437000000
17,Ｇ．ポランコ,34,外野手,ロッテ,4億円,400000000
18,有原　航平,33,投手,ソフトバンク,4億円,400000000
19,森　友哉,30,捕手,オリックス,4億円,400000000
20,近本　光司,31,外野手,阪神,3億7000万円,370000000
21,Ｄ．バーヘイゲン,35,投手,日本ハム,3億5000万円,350000000
22,大山　悠輔,31,内野手,阪神,3億4000万円,340000000
23,丸　佳浩,37,外野手,巨人,3億2000万円,320000000
24,加藤　貴之,33,投手,日本ハム,3億円,300000000
25,中田　翔,37,内野手,中日,3億円,300000000
26,Ｎ．ソト,37,内野手,ロッテ,3億円,300000000
27,戸郷　翔征,26,投手,巨人,3億円,300000000
28,則本　昂大,35,投手,楽天,3億円,300000000
29,Ｆ．レイエス,30,外野手,日本ハム,3億円,300000000
30,山﨑　康晃,33,投手,DeNA,3億円,300000000
31,筒香　嘉智,34,外野手,DeNA,3億円,300000000
32,源田　壮亮,33,内野手,西武,3億円,300000000
33,今宮　健太,34,内野手,ソフトバンク,3億円,300000000
34,西川　龍馬,31,外野手,オリックス,3億円,300000000
35,Ｊ．ゲラ,30,投手,阪神,3億円,300000000
36,西　勇輝,35,投手,阪神,3億円,300000000
37,山﨑　福也,33,投手,日本ハム,2億5000万円,250000000
38,Ａ．マルティネス,30,捕手,日本ハム,2億5000万円,250000000
39,牧　秀悟,28,内野手,DeNA,2億5000万円,250000000
40,Ｔ．ネビン,28,外野手,西武,2億5000万円,250000000
41,上沢　直之,32,投手,ソフトバンク,2億5000万円,250000000
42,Ｄ．ヘルナンデス,29,投手,ソフトバンク,2億5000万円,250000000
43,菊池　涼介,36,内野手,広島,2億5000万円,250000000
44,Ｐ．ランバート,29,投手,ヤクルト,2億4300万円,243000000
45,Ｊ．ビーズリー,30,投手,阪神,2億4000万円,240000000
46,Ａ．ジャクソン,30,投手,DeNA,2億3800万円,238000000
47,伊藤　大海,28,投手,日本ハム,2億2000万円,220000000
48,岸　孝之,41,投手,楽天,2億2000万円,220000000
49,東　克樹,30,投手,DeNA,2億1000万円,210000000
50,甲斐　拓也,33,捕手,巨人,2億1000万円,210000000
51,髙橋　光成,29,投手,西武,2億1000万円,210000000
52,益田　直也,36,投手,ロッテ,2億円,200000000
53,中村　奨吾,34,内野手,ロッテ,2億円,200000000
54,Ｆ．グリフィン,30,投手,巨人,2億円,200000000
55,Ｋ．ケラー,33,投手,巨人,2億円,200000000
56,吉川　尚輝,31,内野手,巨人,2億円,200000000
57,Ｔ．キャベッジ,29,外野手,巨人,2億円,200000000
58,平良　海馬,26,投手,西武,2億円,200000000
59,宮﨑　敏郎,37,内野手,DeNA,2億円,200000000
60,宮城　大弥,24,投手,オリックス,2億円,200000000
61,大瀬良　大地,34,投手,広島,2億円,200000000
62,Ａ．マチャド,33,投手,オリックス,2億円,200000000
63,岩崎　優,34,投手,阪神,2億円,200000000
64,澤村　拓一,38,投手,ロッテ,2億円,200000000
65,Ｙ．マルテ,31,投手,中日,1億9000万円,190000000
66,今井　達也,28,投手,西武,1億8000万円,180000000
67,秋山　翔吾,38,外野手,広島,1億8000万円,180000000
