選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
アセベド,5,12,11,1,2,0,0,1,5,2,0,0,1,0,3,0,0.182,0.25,0.455,0,0,千葉ロッテ,2025,24
會澤　翼,24,55,43,4,5,1,0,0,6,1,0,1,7,2,16,1,0.116,0.269,0.14,3,0,広島東洋,2025,38
坂倉　将吾,104,399,345,29,82,26,1,5,125,37,1,0,43,4,72,8,0.238,0.327,0.362,4,3,広島東洋,2025,28
石原　貴規,51,116,104,4,20,4,0,0,24,3,0,0,4,3,29,3,0.192,0.243,0.231,5,0,広島東洋,2025,28
磯村　嘉孝,6,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,広島東洋,2025,34
清水　叶人,4,14,13,1,2,1,0,0,3,0,0,0,1,0,4,0,0.154,0.214,0.231,0,0,広島東洋,2025,22
羽月　隆太郎,74,119,105,26,31,2,2,0,37,4,17,5,13,0,29,0,0.295,0.373,0.352,1,0,広島東洋,2025,26
上本　崇司,21,31,27,1,5,1,0,0,6,0,0,0,2,0,8,1,0.185,0.241,0.222,2,0,広島東洋,2025,36
田中　広輔,15,44,34,2,5,0,0,0,5,0,0,2,9,1,7,0,0.147,0.341,0.147,0,0,広島東洋,2025,37
矢野　雅哉,112,335,284,24,59,6,1,1,70,19,2,3,27,6,69,1,0.208,0.288,0.246,16,2,広島東洋,2025,27
小園　海斗,138,573,521,51,161,24,4,3,202,47,12,7,42,5,47,9,0.309,0.365,0.388,3,2,広島東洋,2025,26
堂林　翔太,44,77,70,5,13,6,0,1,22,4,0,0,6,0,23,3,0.186,0.25,0.314,1,0,広島東洋,2025,35
佐々木　泰,54,187,181,11,49,2,1,0,53,6,2,0,5,1,23,6,0.271,0.294,0.293,0,0,広島東洋,2025,23
菊池　涼介,113,389,355,30,89,19,0,4,120,28,5,3,14,1,70,5,0.251,0.28,0.338,17,2,広島東洋,2025,36
林　晃汰,22,49,48,2,9,0,0,2,15,4,0,0,1,0,18,0,0.188,0.204,0.313,0,0,広島東洋,2025,26
渡邉　悠斗,2,8,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0.125,0.125,0.125,0,0,広島東洋,2025,24
内田　湘大,6,10,9,0,2,1,0,0,3,0,0,0,1,0,4,0,0.222,0.3,0.333,0,0,広島東洋,2025,22
山足　達也,11,14,9,2,1,0,0,0,1,1,0,0,2,0,0,1,0.111,0.273,0.111,3,0,広島東洋,2025,33
前川　誠太,28,56,54,1,10,3,0,0,13,9,0,1,2,0,10,3,0.185,0.214,0.241,0,0,広島東洋,2025,23
佐藤　啓介,5,16,15,0,1,0,0,0,1,1,0,0,1,0,5,0,0.067,0.125,0.067,0,0,広島東洋,2025,25
モンテロ,105,396,368,23,94,21,1,9,144,41,0,0,23,2,89,11,0.255,0.301,0.391,0,3,広島東洋,2025,28
二俣　翔一,54,130,118,12,22,4,1,3,37,6,1,1,8,1,31,2,0.186,0.242,0.314,2,1,広島東洋,2025,24
秋山　翔吾,64,157,145,12,38,6,0,1,47,5,0,0,9,2,27,2,0.262,0.314,0.324,1,0,広島東洋,2025,38
