選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
炭谷　銀仁朗,40,88,81,4,19,4,0,0,23,4,0,1,3,1,18,3,0.235,0.271,0.284,3,0,埼玉西武,2025,39
柘植　世那,13,17,16,2,2,0,0,0,2,0,0,0,1,0,4,0,0.125,0.176,0.125,0,0,埼玉西武,2025,29
牧野　翔矢,29,67,61,3,13,0,1,0,15,0,1,0,2,0,22,0,0.213,0.238,0.246,4,0,埼玉西武,2025,25
古市　尊,10,19,18,1,8,0,0,0,8,0,0,0,1,0,1,0,0.444,0.474,0.444,0,0,埼玉西武,2025,24
仲田　慶介,60,96,87,14,20,2,0,0,22,3,1,3,4,2,13,2,0.23,0.28,0.253,3,0,埼玉西武,2025,27
児玉　亮涼,60,53,47,9,8,2,0,0,10,3,1,2,4,1,9,0,0.17,0.25,0.213,1,0,埼玉西武,2025,28
齋藤　大翔,4,12,11,0,1,0,0,0,1,0,0,1,1,0,3,1,0.091,0.167,0.091,0,0,埼玉西武,2025,19
山野辺　翔,5,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,埼玉西武,2025,32
山野辺　翔,17,24,19,2,4,1,0,0,5,2,2,0,2,1,2,0,0.211,0.318,0.263,2,0,東京ヤクルト,2025,32
外崎　修汰,115,415,359,29,84,13,1,5,114,34,6,2,39,4,72,11,0.234,0.31,0.318,5,8,埼玉西武,2025,33
源田　壮亮,104,361,320,21,67,11,5,0,88,20,8,5,25,2,60,4,0.209,0.269,0.275,11,3,埼玉西武,2025,33
佐藤　龍世,23,77,66,5,13,3,0,0,16,3,1,0,8,0,20,2,0.197,0.28,0.242,2,1,中　日,2025,29
デービス,36,131,113,8,23,3,0,3,35,9,0,0,17,1,24,4,0.204,0.313,0.31,0,0,埼玉西武,2025,33
元山　飛優,49,93,85,3,13,8,0,0,21,5,0,0,1,0,15,1,0.153,0.163,0.247,7,0,埼玉西武,2025,27
山村　崇嘉,71,231,211,14,52,8,1,4,74,20,0,3,14,2,36,2,0.246,0.296,0.351,1,3,埼玉西武,2025,24
佐藤　太陽,13,34,30,2,5,1,1,0,8,3,0,0,2,1,7,0,0.167,0.242,0.267,1,0,埼玉西武,2025,24
平沢　大河,7,17,17,1,1,1,0,0,2,0,0,0,0,0,4,0,0.059,0.059,0.118,0,0,埼玉西武,2025,28
セデーニョ,74,243,224,13,51,6,1,7,80,26,0,0,15,2,50,9,0.228,0.28,0.357,0,2,埼玉西武,2025,28
髙松　渡,27,19,17,4,1,0,0,0,1,0,7,1,0,0,8,0,0.059,0.059,0.059,2,0,埼玉西武,2025,27
中村　剛也,44,110,96,3,23,5,0,3,37,10,0,0,13,1,28,2,0.24,0.336,0.385,0,0,埼玉西武,2025,43
滝澤　夏央,125,438,385,31,90,4,0,0,94,14,21,7,28,2,67,2,0.234,0.289,0.244,23,0,埼玉西武,2025,23
野村　大樹,13,36,35,1,6,1,0,0,7,2,0,0,0,0,9,0,0.171,0.171,0.2,1,0,埼玉西武,2025,26
村田　怜音,23,85,82,3,16,4,0,2,26,9,0,0,2,1,32,2,0.195,0.224,0.317,0,0,埼玉西武,2025,25
栗山　巧,11,23,23,0,2,0,0,0,2,0,0,0,0,0,7,1,0.087,0.087,0.087,0,0,埼玉西武,2025,43
渡部　聖弥,109,452,425,42,110,16,3,12,168,43,2,3,21,4,85,11,0.259,0.299,0.395,0,2,埼玉西武,2025,24
蛭間　拓哉,12,37,34,0,6,0,0,0,6,0,0,0,1,0,8,0,0.176,0.2,0.176,2,0,埼玉西武,2025,26
ネビン,137,570,509,51,141,24,0,21,228,63,2,1,45,11,78,13,0.277,0.346,0.448,0,5,埼玉西武,2025,29
平沼　翔太,60,164,156,13,34,3,1,0,39,11,5,0,4,2,32,0,0.218,0.245,0.25,1,1,埼玉西武,2025,29
古川　雄大,5,16,12,1,1,0,0,0,1,0,0,1,4,0,4,1,0.083,0.313,0.083,0,0,埼玉西武,2025,22
松原　聖弥,8,24,22,1,6,1,0,0,7,0,0,0,0,0,6,0,0.273,0.273,0.318,2,0,埼玉西武,2025,31
西川　愛也,124,553,507,64,134,26,3,10,196,38,25,7,32,9,80,4,0.264,0.318,0.387,2,3,埼玉西武,2025,27
仲三河　優太,5,10,9,0,2,0,1,0,4,5,0,0,0,0,6,0,0.222,0.2,0.444,0,1,埼玉西武,2025,24
長谷川　信哉,132,450,400,42,90,16,3,6,130,36,9,4,33,3,56,11,0.225,0.286,0.325,9,5,埼玉西武,2025,24
岸　潤一郎,10,31,30,2,5,3,0,0,8,0,0,0,1,0,3,0,0.167,0.194,0.267,0,0,埼玉西武,2025,29
モンテル,12,11,11,1,1,0,0,0,1,0,1,0,0,0,5,0,0.091,0.091,0.091,0,0,埼玉西武,2025,26
松尾　汐恩,77,191,176,19,44,5,0,4,61,18,1,1,9,3,17,8,0.25,0.293,0.347,0,3,横浜DeNA,2025,22
戸柱　恭孝,45,100,95,5,23,4,0,2,33,6,0,0,2,0,15,5,0.242,0.253,0.347,1,2,横浜DeNA,2025,36
伊藤　光,6,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,横浜DeNA,2025,37
山本　祐大,104,344,313,22,82,19,2,3,114,41,0,0,16,4,40,5,0.262,0.3,0.364,4,7,横浜DeNA,2025,28
東妻　純平,4,6,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0.167,0.167,0.167,0,0,横浜DeNA,2025,25
九鬼　隆平,12,12,12,0,3,0,1,0,5,0,0,0,0,0,3,0,0.25,0.25,0.417,0,0,横浜DeNA,2025,28
林　琢真,95,290,258,35,63,11,1,2,82,20,11,4,19,2,54,4,0.244,0.297,0.318,7,4,横浜DeNA,2025,26
牧　秀悟,93,391,364,48,101,24,0,16,173,49,3,4,16,10,76,6,0.277,0.325,0.475,0,1,横浜DeNA,2025,28
オースティン,65,246,219,35,59,14,0,11,106,28,0,0,26,1,45,10,0.269,0.35,0.484,0,0,横浜DeNA,2025,35
森　敬斗,28,75,72,4,11,0,1,0,13,4,0,2,2,0,16,1,0.153,0.173,0.181,0,1,横浜DeNA,2025,24
京田　陽太,83,210,194,21,42,5,1,1,52,14,1,0,9,4,60,3,0.216,0.264,0.268,2,1,横浜DeNA,2025,32
三森　大貴,91,179,160,23,34,9,0,0,43,10,22,8,17,0,32,1,0.213,0.287,0.269,1,1,横浜DeNA,2025,27
柴田　竜拓,70,32,22,4,2,0,0,0,2,0,1,1,4,0,6,0,0.091,0.231,0.091,6,0,横浜DeNA,2025,32
加藤　響,9,18,17,2,3,0,0,0,3,0,0,0,1,0,6,0,0.176,0.222,0.176,0,0,横浜DeNA,2025,24
石上　泰輝,73,158,141,15,34,9,0,2,49,16,3,2,14,1,42,2,0.241,0.314,0.348,2,0,横浜DeNA,2025,25
宮﨑　敏郎,95,352,321,25,89,16,1,6,125,39,0,0,28,1,42,14,0.277,0.335,0.389,0,2,横浜DeNA,2025,37
井上　絢登,12,31,29,2,5,0,0,2,11,7,0,0,1,0,6,0,0.172,0.194,0.379,0,1,横浜DeNA,2025,26
田内　真翔,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,横浜DeNA,2025,19
知野　直人,8,20,17,3,3,1,0,1,7,2,0,1,3,0,2,0,0.176,0.3,0.412,0,0,横浜DeNA,2025,27
ビシエド,43,90,81,8,21,4,0,2,31,6,0,0,6,2,8,3,0.259,0.322,0.383,0,1,横浜DeNA,2025,37
フォード,25,51,46,1,9,1,0,0,10,1,0,0,5,0,13,0,0.196,0.275,0.217,0,0,横浜DeNA,2025,34
桑原　将志,106,447,398,48,113,17,2,6,152,27,10,0,30,9,59,5,0.284,0.348,0.382,10,0,横浜DeNA,2025,33
度会　隆輝,86,301,270,24,65,10,2,6,97,25,0,1,24,1,36,5,0.241,0.303,0.359,4,2,横浜DeNA,2025,24
佐野　恵太,138,569,525,47,144,24,0,15,213,70,0,0,34,5,61,13,0.274,0.322,0.406,0,5,横浜DeNA,2025,31
神里　和毅,62,27,26,5,8,1,2,0,13,2,3,0,1,0,8,0,0.308,0.333,0.5,0,0,横浜DeNA,2025,32
筒香　嘉智,75,257,224,29,51,12,0,20,123,43,0,0,33,0,59,7,0.228,0.327,0.549,0,0,横浜DeNA,2025,35
勝又　温史,7,9,9,0,3,0,0,0,3,0,0,0,0,0,1,0,0.333,0.333,0.333,0,0,横浜DeNA,2025,26
梶原　昂希,61,170,163,21,40,9,1,2,57,10,6,3,4,2,51,1,0.245,0.271,0.35,0,1,横浜DeNA,2025,27
蝦名　達夫,115,401,348,53,99,21,1,8,146,41,5,4,31,11,68,5,0.284,0.355,0.42,4,7,横浜DeNA,2025,29
関根　大気,9,23,23,2,4,3,0,0,7,1,0,0,0,0,2,1,0.174,0.174,0.304,0,0,横浜DeNA,2025,31
