年度,選手名,年齢,ポジション,チーム,年俸,年俸_円
2023,山本　由伸,24,投手,オリックス,6億5000万円,650000000
2023,Ｒ．オスナ,28,投手,ソフトバンク,6億5000万円,650000000
2023,柳田　悠岐,34,外野手,ソフトバンク,6億2000万円,620000000
2023,坂本　勇人,34,内野手,巨人,6億円,600000000
2023,村上　宗隆,23,内野手,ヤクルト,6億円,600000000
2023,菅野　智之,33,投手,巨人,5億円,500000000
2023,浅村　栄斗,32,内野手,楽天,5億円,500000000
2023,山田　哲人,30,内野手,ヤクルト,5億円,500000000
2023,田中　将大,34,投手,楽天,4億7500万円,475000000
2023,森　唯斗,31,投手,ソフトバンク,4億6000万円,460000000
2023,丸　佳浩,33,外野手,巨人,4億5000万円,450000000
2023,Ｄ．ビシエド,34,内野手,中日,3億5000万円,350000000
2023,Ｆ．ガルビス,33,内野手,ソフトバンク,3億5000万円,350000000
2023,青木　宣親,41,外野手,ヤクルト,3億3000万円,330000000
2023,則本　昂大,32,投手,楽天,3億円,300000000
2023,山﨑　康晃,30,投手,DeNA,3億円,300000000
2023,増田　達至,34,投手,西武,3億円,300000000
2023,中田　翔,33,内野手,巨人,3億円,300000000
2023,源田　壮亮,30,内野手,西武,3億円,300000000
2023,有原　航平,30,投手,ソフトバンク,3億円,300000000
2023,Ｌ．モイネロ,27,投手,ソフトバンク,3億円,300000000
2023,今宮　健太,31,内野手,ソフトバンク,3億円,300000000
2023,菊池　涼介,33,内野手,広島,3億円,300000000
2023,西　勇輝,32,投手,阪神,3億円,300000000
2023,大野　雄大,34,投手,中日,3億円,300000000
2023,岡本　和真,26,内野手,巨人,2億7000万円,270000000
2023,山川　穂高,31,内野手,西武,2億7000万円,270000000
2023,Ｄ．サンタナ,30,外野手,ヤクルト,2億6500万円,265000000
2023,近藤　健介,29,外野手,ソフトバンク,2億5500万円,255000000
2023,大島　洋平,37,外野手,中日,2億5000万円,250000000
2023,松井　裕樹,27,投手,楽天,2億5000万円,250000000
2023,岸　孝之,38,投手,楽天,2億5000万円,250000000
2023,Ｎ．ソト,34,内野手,DeNA,2億5000万円,250000000
2023,青柳　晃洋,29,投手,阪神,2億4000万円,240000000
2023,平野　佳寿,39,投手,オリックス,2億2000万円,220000000
2023,甲斐　拓也,30,捕手,ソフトバンク,2億1000万円,210000000
2023,森　友哉,27,捕手,オリックス,2億1000万円,210000000
2023,中村　奨吾,30,内野手,ロッテ,2億円,200000000
2023,Ｇ．ポランコ,31,外野手,ロッテ,2億円,200000000
2023,Ｅ．エスコバー,30,投手,DeNA,2億円,200000000
2023,鈴木　大地,33,内野手,楽天,2億円,200000000
2023,宮﨑　敏郎,34,内野手,DeNA,2億円,200000000
2023,Ｔ．オースティン,31,外野手,DeNA,2億円,200000000
2023,中村　剛也,39,内野手,西武,2億円,200000000
2023,Ｙ．ロドリゲス,26,投手,中日,2億円,200000000
2023,Ｒ．マルティネス,26,投手,中日,2億円,200000000
2023,梶谷　隆幸,34,外野手,巨人,2億円,200000000
2023,岩崎　優,31,投手,阪神,2億円,200000000
2023,益田　直也,33,投手,ロッテ,2億円,200000000
2023,澤村　拓一,34,投手,ロッテ,2億円,200000000
2023,サイスニード,30,投手,ヤクルト,1億9000万円,190000000
2023,Ｒ．マクブルーム,30,内野手,広島,1億9000万円,190000000
2023,Ｋ．ケラー,29,投手,阪神,1億8200万円,182000000
2023,Ｃ．ポンセ,28,投手,日本ハム,1億8000万円,180000000
2023,髙橋　光成,26,投手,西武,1億8000万円,180000000
2023,大瀬良　大地,31,投手,広島,1億8000万円,180000000
2023,Ｗ．アストゥディーヨ,31,内野手,ソフトバンク,1億8000万円,180000000
2023,Ｍ．ゴンザレス,34,内野手,オリックス,1億8000万円,180000000
2023,Ｓ．ノイジー,28,外野手,阪神,1億7940万円,179400000
2023,栗山　巧,39,外野手,西武,1億7900万円,179000000
2023,近本　光司,28,外野手,阪神,1億7000万円,170000000
2023,平良　海馬,23,投手,西武,1億7000万円,170000000
2023,Ｄ．エンス,31,投手,西武,1億7000万円,170000000
2023,佐野　恵太,28,外野手,DeNA,1億7000万円,170000000
2023,中村　悠平,32,捕手,ヤクルト,1億7000万円,170000000
2023,上沢　直之,29,投手,日本ハム,1億7000万円,170000000
2023,Ｌ．ペルドモ,29,投手,ロッテ,1億6900万円,169000000
2023,Ａ．アキーノ,28,外野手,中日,1億6800万円,168000000
2023,和田　毅,42,投手,ソフトバンク,1億6500万円,165000000
2023,梅野　隆太郎,31,捕手,阪神,1億6000万円,160000000
2023,Ｔ．ビーディ,29,投手,巨人,1億6000万円,160000000
2023,外崎　修汰,30,内野手,西武,1億6000万円,160000000
2023,Ｊ．ガンケル,31,投手,ソフトバンク,1億6000万円,160000000
2023,嘉弥真　新也,33,投手,ソフトバンク,1億6000万円,160000000
2023,小川　泰弘,32,投手,ヤクルト,1億6000万円,160000000
2023,Ｊ．オスナ,30,内野手,ヤクルト,1億5800万円,158000000
2023,又吉　克樹,32,投手,ソフトバンク,1億5000万円,150000000
2023,東浜　巨,32,投手,ソフトバンク,1億5000万円,150000000
2023,武田　翔太,29,投手,ソフトバンク,1億5000万円,150000000
2023,石川　柊太,31,投手,ソフトバンク,1億5000万円,150000000
2023,石山　泰稚,34,投手,ヤクルト,1億5000万円,150000000
2023,中村　晃,33,外野手,ソフトバンク,1億5000万円,150000000
2023,石川　歩,34,投手,ロッテ,1億5000万円,150000000
2023,秋山　翔吾,34,外野手,広島,1億5000万円,150000000
2023,今永　昇太,29,投手,DeNA,1億4000万円,140000000
2023,九里　亜蓮,31,投手,広島,1億4000万円,140000000
2023,會澤　翼,34,捕手,広島,1億4000万円,140000000
2023,美馬　学,36,投手,ロッテ,1億4000万円,140000000
2023,加藤　貴之,30,投手,日本ハム,1億3500万円,135000000
2023,Ｋ．ケラ,29,投手,ヤクルト,1億3200万円,132000000
2023,大山　悠輔,28,内野手,阪神,1億3000万円,130000000
2023,Ａ．アルカンタラ,31,内野手,日本ハム,1億3000万円,130000000
2023,Ｌ．ブリンソン,28,外野手,巨人,1億3000万円,130000000
2023,Ｊ．ワゲスパック,29,投手,オリックス,1億3000万円,130000000
2023,金子　侑司,32,外野手,西武,1億2600万円,126000000
2023,Ｂ．ロドリゲス,31,投手,日本ハム,1億2000万円,120000000
2023,福田　秀平,34,外野手,ロッテ,1億2000万円,120000000
2023,三嶋　一輝,32,投手,DeNA,1億2000万円,120000000
2023,Ｒ．ガゼルマン,29,投手,DeNA,1億2000万円,120000000
2023,Ｊ．Ｂ．ウェンデルケン,30,投手,DeNA,1億2000万円,120000000
2023,牧　秀悟,24,内野手,DeNA,1億2000万円,120000000
2023,島内　宏明,33,外野手,楽天,1億2000万円,120000000
2023,桑原　将志,29,外野手,DeNA,1億2000万円,120000000
2023,西川　龍馬,28,外野手,広島,1億2000万円,120000000
2023,高梨　雄平,30,投手,巨人,1億1000万円,110000000
2023,Ｙ．ロペス,30,投手,巨人,1億1000万円,110000000
2023,伊藤　光,33,捕手,DeNA,1億1000万円,110000000
2023,Ｃ．スチュワート・ジュニア,23,投手,ソフトバンク,1億1000万円,110000000
2023,田嶋　大樹,26,投手,オリックス,1億1000万円,110000000
2023,森下　暢仁,25,投手,広島,1億1000万円,110000000
2023,Ｊ．ビーズリー,27,投手,阪神,1億960万円,109600000
2023,柳　裕也,28,投手,中日,1億800万円,108000000
2023,Ｎ．ターリー,33,投手,広島,1億600万円,106000000
2023,祖父江　大輔,35,投手,中日,1億円,100000000
2023,荻野　貴司,37,外野手,ロッテ,1億円,100000000
2023,Ｍ．バニュエロス,32,投手,楽天,1億円,100000000
2023,宋　家豪,30,投手,楽天,1億円,100000000
2023,Ｆ．グリフィン,27,投手,巨人,1億円,100000000
2023,炭谷　銀仁朗,35,捕手,楽天,1億円,100000000
2023,小林　誠司,33,捕手,巨人,1億円,100000000
2023,Ｍ．フランコ,30,内野手,楽天,1億円,100000000
2023,Ｊ．ティノコ,27,投手,西武,1億円,100000000
2023,Ｃ．ギッテンス,29,内野手,楽天,1億円,100000000
2023,Ａ．ウォーカー,31,外野手,巨人,1億円,100000000
2023,清水　昇,26,投手,ヤクルト,1億円,100000000
2023,Ｄ．ピーターズ,30,投手,ヤクルト,1億円,100000000
2023,唐川　侑己,33,投手,ロッテ,1億円,100000000
2023,岩貞　祐太,31,投手,阪神,1億円,100000000
2023,涌井　秀章,36,投手,中日,1億円,100000000
2023,栗林　良吏,26,投手,広島,9500万円,95000000
2023,坂倉　将吾,24,捕手,広島,9500万円,95000000
2023,伊勢　大夢,25,投手,DeNA,9200万円,92000000
2023,Ｃ．メネズ,27,投手,日本ハム,9000万円,90000000
2023,戸郷　翔征,22,投手,巨人,9000万円,90000000
2023,Ｄ．マキノン,28,内野手,西武,9000万円,90000000
2023,Ｊ．コットン,31,投手,オリックス,9000万円,90000000
2023,石川　雅規,43,投手,ヤクルト,9000万円,90000000
2023,Ｆ．シュウィンデル,30,内野手,オリックス,9000万円,90000000
2023,Ｌ．カスティーヨ,28,投手,ロッテ,9000万円,90000000
2023,大貫　晋一,29,投手,DeNA,8800万円,88000000
2023,田口　麗斗,27,投手,ヤクルト,8800万円,88000000
2023,秋山　拓巳,31,投手,阪神,8800万円,88000000
2023,Ｒ．エスピナル,31,投手,ヤクルト,8700万円,87000000
2023,松本　剛,29,外野手,日本ハム,8600万円,86000000
2023,塩見　泰隆,29,外野手,ヤクルト,8600万円,86000000
2023,伊藤　大海,25,投手,日本ハム,8500万円,85000000
2023,佐藤　輝明,24,内野手,阪神,8500万円,85000000
2023,Ｂ．ケラー,28,投手,阪神,8160万円,81600000
2023,伊藤　将司,26,投手,阪神,8000万円,80000000
2023,Ａ．マルティネス,26,捕手,日本ハム,8000万円,80000000
2023,糸原　健斗,30,内野手,阪神,8000万円,80000000
2023,辛島　航,32,投手,楽天,8000万円,80000000
2023,平井　克典,31,投手,西武,8000万円,80000000
2023,大城　卓三,30,捕手,巨人,8000万円,80000000
2023,大和（前田　大和）,35,内野手,DeNA,8000万円,80000000
2023,Ｍ．ペイトン,31,外野手,西武,8000万円,80000000
2023,宮城　大弥,21,投手,オリックス,8000万円,80000000
2023,牧原　大成,30,内野手,ソフトバンク,8000万円,80000000
2023,佐々木　朗希,21,投手,ロッテ,8000万円,80000000
2023,宗　佑磨,26,内野手,オリックス,7800万円,78000000
2023,Ｄ．アンダーソン,29,投手,広島,7700万円,77000000
2023,Ｍ．デビッドソン,32,内野手,広島,7700万円,77000000
2023,中川　皓太,29,投手,巨人,7500万円,75000000
2023,福田　周平,30,外野手,オリックス,7500万円,75000000
2023,茂木　栄五郎,29,内野手,楽天,7400万円,74000000
2023,山岡　泰輔,27,投手,オリックス,7200万円,72000000
2023,Ｔ－岡田（岡田　貴弘）,35,外野手,オリックス,7200万円,72000000
2023,杉本　裕太郎,31,外野手,オリックス,7200万円,72000000
2023,田村　龍弘,28,捕手,ロッテ,7000万円,70000000
2023,中野　拓夢,26,内野手,阪神,7000万円,70000000
2023,吉川　尚輝,28,内野手,巨人,7000万円,70000000
2023,銀次（赤見内　銀次）,35,内野手,楽天,7000万円,70000000
2023,西川　遥輝,30,外野手,楽天,7000万円,70000000
2023,安達　了一,35,内野手,オリックス,7000万円,70000000
2023,栗原　陵矢,26,外野手,ソフトバンク,7000万円,70000000
2023,玉井　大翔,30,投手,日本ハム,6800万円,68000000
2023,木下　拓哉,31,捕手,中日,6800万円,68000000
2023,小島　和哉,26,投手,ロッテ,6800万円,68000000
2023,高橋　周平,29,内野手,中日,6750万円,67500000
2023,Ｊ．ミエセス,27,外野手,阪神,6750万円,67500000
2023,Ｃ．ホーキンス,29,外野手,ソフトバンク,6600万円,66000000
2023,小笠原　慎之介,25,投手,中日,6600万円,66000000
2023,松本　航,26,投手,西武,6500万円,65000000
2023,阿部　寿樹,33,内野手,楽天,6500万円,65000000
2023,松山　竜平,37,外野手,広島,6500万円,65000000
2023,鍵谷　陽平,32,投手,巨人,6300万円,63000000
2023,濵口　遥大,28,投手,DeNA,6300万円,63000000
2023,石田　健大,30,投手,DeNA,6200万円,62000000
2023,国吉　佑樹,31,投手,ロッテ,6000万円,60000000
2023,杉浦　稔大,31,投手,日本ハム,6000万円,60000000
2023,山﨑　福也,30,投手,オリックス,6000万円,60000000
2023,中川　圭太,26,内野手,オリックス,6000万円,60000000
2023,大勢（翁田　大勢）,23,投手,巨人,5700万円,57000000
2023,酒居　知史,30,投手,楽天,5600万円,56000000
2023,柴田　竜拓,29,内野手,DeNA,5600万円,56000000
2023,堀　瑞輝,24,投手,日本ハム,5500万円,55000000
2023,角中　勝也,35,外野手,ロッテ,5500万円,55000000
2023,野村　祐輔,33,投手,広島,5500万円,55000000
2023,東條　大樹,31,投手,ロッテ,5500万円,55000000
2023,辰己　涼介,26,外野手,楽天,5300万円,53000000
2023,中﨑　翔太,30,投手,広島,5300万円,53000000
2023,福　敬登,30,投手,中日,5000万円,50000000
2023,松葉　貴大,32,投手,中日,5000万円,50000000
2023,宮西　尚生,37,投手,日本ハム,5000万円,50000000
2023,砂田　毅樹,27,投手,中日,5000万円,50000000
2023,藤岡　裕大,29,内野手,ロッテ,5000万円,50000000
2023,Ｊ．ガント,30,投手,日本ハム,5000万円,50000000
2023,加藤　豪将,28,内野手,日本ハム,5000万円,50000000
2023,小深田　大翔,27,内野手,楽天,5000万円,50000000
2023,中島　宏之,40,内野手,巨人,5000万円,50000000
2023,京田　陽太,28,内野手,DeNA,5000万円,50000000
2023,大田　泰示,32,外野手,DeNA,5000万円,50000000
2023,藤井　皓哉,26,投手,ソフトバンク,5000万円,50000000
2023,床田　寛樹,28,投手,広島,5000万円,50000000
2023,高橋　奎二,25,投手,ヤクルト,5000万円,50000000
2023,堂林　翔太,31,内野手,広島,5000万円,50000000
2023,野間　峻祥,30,外野手,広島,5000万円,50000000
2023,西野　勇士,32,投手,ロッテ,5000万円,50000000
2023,若月　健矢,27,捕手,オリックス,4800万円,48000000
2023,湯浅　京己,23,投手,阪神,4700万円,47000000
2023,今村　信貴,29,投手,巨人,4700万円,47000000
2023,藤嶋　健人,24,投手,中日,4600万円,46000000
2023,二木　康太,27,投手,ロッテ,4600万円,46000000
2023,伏見　寅威,32,捕手,日本ハム,4500万円,45000000
2023,入江　大生,24,投手,DeNA,4500万円,45000000
2023,今井　達也,24,投手,西武,4500万円,45000000
2023,神里　和毅,29,外野手,DeNA,4500万円,45000000
2023,大関　友久,25,投手,ソフトバンク,4500万円,45000000
2023,三森　大貴,24,内野手,ソフトバンク,4500万円,45000000
2023,Ｃ．Ｃ．メルセデス,29,投手,ロッテ,4500万円,45000000
2023,高橋　礼,27,投手,ソフトバンク,4300万円,43000000
2023,高梨　裕稔,31,投手,ヤクルト,4300万円,43000000
2023,安田　尚憲,23,内野手,ロッテ,4200万円,42000000
2023,井上　晴哉,33,内野手,ロッテ,4200万円,42000000
2023,西口　直人,26,投手,楽天,4200万円,42000000
2023,岡島　豪郎,33,外野手,楽天,4200万円,42000000
2023,近藤　大亮,31,投手,オリックス,4200万円,42000000
2023,紅林　弘太郎,21,内野手,オリックス,4200万円,42000000
2023,今野　龍太,27,投手,ヤクルト,4200万円,42000000
2023,岩下　大輝,26,投手,ロッテ,4200万円,42000000
2023,谷元　圭介,38,投手,中日,4200万円,42000000
2023,津森　宥紀,25,投手,ソフトバンク,4100万円,41000000
2023,石川　直也,26,投手,日本ハム,4000万円,40000000
2023,渡邉　諒,27,内野手,阪神,4000万円,40000000
2023,岡林　勇希,21,外野手,中日,4000万円,40000000
2023,Ｙ．メンデス,28,投手,巨人,4000万円,40000000
2023,森脇　亮介,30,投手,西武,4000万円,40000000
2023,戸柱　恭孝,32,捕手,DeNA,4000万円,40000000
2023,水上　由伸,24,投手,西武,4000万円,40000000
2023,阿部　翔太,30,投手,オリックス,4000万円,40000000
2023,松本　裕樹,26,投手,ソフトバンク,4000万円,40000000
2023,森浦　大輔,24,投手,広島,4000万円,40000000
2023,周東　佑京,27,内野手,ソフトバンク,4000万円,40000000
2023,小園　海斗,22,内野手,広島,4000万円,40000000
2023,Ｌ．セデーニョ,24,内野手,オリックス,4000万円,40000000
2023,山崎　晃大朗,29,外野手,ヤクルト,4000万円,40000000
2023,小野　郁,26,投手,ロッテ,4000万円,40000000
2023,佐々木　千隼,28,投手,ロッテ,3850万円,38500000
2023,原　樹理,29,投手,ヤクルト,3800万円,38000000
2023,上林　誠知,27,外野手,ソフトバンク,3750万円,37500000
2023,安樂　智大,26,投手,楽天,3700万円,37000000
2023,木澤　尚文,24,投手,ヤクルト,3700万円,37000000
2023,岡　大海,31,外野手,ロッテ,3600万円,36000000
2023,公文　克彦,31,投手,西武,3600万円,36000000
2023,楠本　泰史,27,外野手,DeNA,3600万円,36000000
2023,甲斐野　央,26,投手,ソフトバンク,3600万円,36000000
2023,比嘉　幹貴,40,投手,オリックス,3600万円,36000000
2023,山田　修義,31,投手,オリックス,3600万円,36000000
2023,髙部　瑛斗,25,外野手,ロッテ,3500万円,35000000
2023,福田　永将,34,内野手,中日,3500万円,35000000
2023,石井　一成,28,内野手,日本ハム,3500万円,35000000
2023,田中　健二朗,33,投手,DeNA,3500万円,35000000
2023,ボー・タカハシ,26,投手,西武,3500万円,35000000
2023,森原　康平,31,投手,DeNA,3500万円,35000000
2023,Ｔ．アンバギー,28,外野手,DeNA,3500万円,35000000
2023,関根　大気,27,外野手,DeNA,3500万円,35000000
2023,頓宮　裕真,26,捕手,オリックス,3500万円,35000000
2023,梅野　雄吾,24,投手,ヤクルト,3500万円,35000000
2023,田島　慎二,33,投手,中日,3500万円,35000000
2023,髙橋　宏斗,20,投手,中日,3500万円,35000000
2023,上茶谷　大河,26,投手,DeNA,3400万円,34000000
2023,板東　湧梧,27,投手,ソフトバンク,3400万円,34000000
2023,井口　和朋,29,投手,日本ハム,3300万円,33000000
2023,野村　佑希,22,内野手,日本ハム,3300万円,33000000
2023,清宮　幸太郎,23,内野手,日本ハム,3300万円,33000000
2023,早川　隆久,24,投手,楽天,3300万円,33000000
2023,畠　世周,28,投手,巨人,3300万円,33000000
2023,平田　真吾,33,投手,DeNA,3300万円,33000000
2023,太田　光,26,捕手,楽天,3300万円,33000000
2023,與座　海人,27,投手,西武,3300万円,33000000
2023,愛斗（武田　愛斗）,25,外野手,西武,3300万円,33000000
2023,長岡　秀樹,21,内野手,ヤクルト,3300万円,33000000
2023,浜地　真澄,24,投手,阪神,3200万円,32000000
2023,清水　達也,23,投手,中日,3200万円,32000000
2023,重信　慎之介,29,外野手,巨人,3200万円,32000000
2023,一岡　竜司,32,投手,広島,3200万円,32000000
2023,富山　凌雅,25,投手,オリックス,3150万円,31500000
2023,佐藤　都志也,25,捕手,ロッテ,3100万円,31000000
2023,原口　文仁,31,内野手,阪神,3100万円,31000000
2023,松原　聖弥,28,外野手,巨人,3100万円,31000000
2023,加治屋　蓮,31,投手,阪神,3000万円,30000000
2023,宇佐見　真吾,29,捕手,日本ハム,3000万円,30000000
2023,Ｏ．カリステ,31,内野手,中日,3000万円,30000000
2023,中島　卓也,32,内野手,日本ハム,3000万円,30000000
2023,谷内　亮太,32,内野手,日本ハム,3000万円,30000000
2023,Ｚ．アルモンテ,33,外野手,中日,3000万円,30000000
2023,島田　海吏,27,外野手,阪神,3000万円,30000000
2023,本田　圭佑,29,投手,西武,3000万円,30000000
2023,岡田　雅利,33,捕手,西武,3000万円,30000000
2023,髙橋　優貴,26,投手,巨人,3000万円,30000000
2023,黒木　優太,28,投手,オリックス,3000万円,30000000
2023,田中　広輔,33,内野手,広島,3000万円,30000000
2023,馬場　皐輔,27,投手,阪神,2950万円,29500000
2023,清水　優心,26,捕手,日本ハム,2900万円,29000000
2023,堂上　直倫,34,内野手,中日,2900万円,29000000
2023,鍬原　拓也,27,投手,巨人,2900万円,29000000
2023,平内　龍太,24,投手,巨人,2900万円,29000000
2023,柳町　達,25,外野手,ソフトバンク,2900万円,29000000
2023,上本　崇司,32,内野手,広島,2900万円,29000000
2023,坂本　誠志郎,29,捕手,阪神,2800万円,28000000
2023,山本　泰寛,29,内野手,阪神,2800万円,28000000
2023,山口　航輝,22,外野手,ロッテ,2800万円,28000000
2023,岩嵜　翔,33,投手,中日,2800万円,28000000
2023,淺間　大基,26,外野手,日本ハム,2800万円,28000000
2023,呉　念庭,29,内野手,西武,2800万円,28000000
2023,大城　滉二,29,内野手,オリックス,2800万円,28000000
2023,矢崎　拓也,28,投手,広島,2800万円,28000000
2023,西　純矢,21,投手,阪神,2800万円,28000000
2023,京山　将弥,24,投手,DeNA,2790万円,27900000
2023,河野　竜生,24,投手,日本ハム,2700万円,27000000
2023,北山　亘基,23,投手,日本ハム,2700万円,27000000
2023,塩見　貴洋,34,投手,楽天,2700万円,27000000
2023,泉　圭輔,26,投手,ソフトバンク,2700万円,27000000
2023,嶺井　博希,31,捕手,ソフトバンク,2700万円,27000000
2023,奥川　恭伸,21,投手,ヤクルト,2700万円,27000000
2023,ケムナ　誠,27,投手,広島,2700万円,27000000
2023,東　克樹,27,投手,DeNA,2610万円,26100000
2023,瀧中　瞭太,28,投手,楽天,2600万円,26000000
2023,遠藤　淳志,23,投手,広島,2600万円,26000000
2023,西浦　直亨,31,内野手,ヤクルト,2600万円,26000000
2023,山﨑　伊織,24,投手,巨人,2500万円,25000000
2023,宮川　哲,27,投手,西武,2500万円,25000000
2023,若林　晃弘,29,内野手,巨人,2500万円,25000000
2023,野村　勇,26,内野手,ソフトバンク,2500万円,25000000
2023,大西　広樹,25,投手,ヤクルト,2500万円,25000000
2023,小田　裕也,33,外野手,オリックス,2500万円,25000000
2023,川端　慎吾,35,内野手,ヤクルト,2500万円,25000000
2023,髙橋　遥人,27,投手,阪神,2450万円,24500000
2023,上原　健太,29,投手,日本ハム,2400万円,24000000
2023,松川　虎生,19,捕手,ロッテ,2400万円,24000000
2023,西野　真弘,32,内野手,オリックス,2400万円,24000000
2023,塹江　敦哉,26,投手,広島,2400万円,24000000
2023,立岡　宗一郎,32,外野手,巨人,2350万円,23500000
2023,大江　竜聖,24,投手,巨人,2310万円,23100000
2023,島本　浩也,30,投手,阪神,2300万円,23000000
2023,加藤　翔平,32,外野手,中日,2300万円,23000000
2023,坂本　裕哉,25,投手,DeNA,2300万円,23000000
2023,増田　大輝,29,内野手,巨人,2300万円,23000000
2023,山﨑　颯一郎,24,投手,オリックス,2300万円,23000000
2023,島内　颯太郎,26,投手,広島,2300万円,23000000
2023,佐野　皓大,26,外野手,オリックス,2300万円,23000000
2023,荒木　貴裕,35,内野手,ヤクルト,2300万円,23000000
2023,宮本　丈,27,内野手,ヤクルト,2300万円,23000000
2023,福谷　浩司,32,投手,中日,2200万円,22000000
2023,大野　奨太,36,捕手,中日,2200万円,22000000
2023,藤原　恭大,22,外野手,ロッテ,2200万円,22000000
2023,上川畑　大悟,26,内野手,日本ハム,2200万円,22000000
2023,赤星　優志,23,投手,巨人,2200万円,22000000
2023,陽川　尚将,31,内野手,西武,2200万円,22000000
2023,本田　仁海,23,投手,オリックス,2200万円,22000000
2023,三木　亮,31,内野手,ロッテ,2100万円,21000000
2023,木浪　聖也,28,内野手,阪神,2100万円,21000000
2023,髙山　俊,29,外野手,阪神,2100万円,21000000
2023,後藤　駿太,30,外野手,中日,2100万円,21000000
2023,髙橋　純平,25,投手,ソフトバンク,2100万円,21000000
2023,竹安　大知,28,投手,オリックス,2100万円,21000000
2023,笠谷　俊介,26,投手,ソフトバンク,2100万円,21000000
2023,磯村　嘉孝,30,捕手,広島,2100万円,21000000
2023,二保　旭,32,投手,阪神,2025万円,20250000
2023,吉田　輝星,22,投手,日本ハム,2000万円,20000000
2023,大竹　耕太郎,27,投手,阪神,2000万円,20000000
2023,髙濱　祐仁,26,外野手,阪神,2000万円,20000000
2023,今川　優馬,26,外野手,日本ハム,2000万円,20000000
2023,万波　中正,22,外野手,日本ハム,2000万円,20000000
2023,隅田　知一郎,23,投手,西武,2000万円,20000000
2023,佐々木　健,26,投手,西武,2000万円,20000000
2023,平良　拳太郎,27,投手,DeNA,2000万円,20000000
2023,松田　宣浩,39,内野手,巨人,2000万円,20000000
2023,森　敬斗,21,内野手,DeNA,2000万円,20000000
2023,柘植　世那,25,捕手,西武,2000万円,20000000
2023,田中　和基,28,外野手,楽天,2000万円,20000000
2023,長野　久義,38,外野手,巨人,2000万円,20000000
2023,高木　京介,33,投手,巨人,2000万円,20000000
2023,Ｊ．ニックス,27,投手,オリックス,2000万円,20000000
2023,山足　達也,29,内野手,オリックス,2000万円,20000000
2023,Ｒ．コルニエル,27,投手,広島,2000万円,20000000
2023,西田　明央,30,捕手,ヤクルト,2000万円,20000000
2023,才木　浩人,24,投手,阪神,1900万円,19000000
2023,勝野　昌慶,25,投手,中日,1900万円,19000000
2023,西村　天裕,29,投手,日本ハム,1900万円,19000000
2023,鈴木　健矢,25,投手,日本ハム,1900万円,19000000
2023,加藤　匠馬,30,捕手,中日,1900万円,19000000
2023,菅野　剛士,29,外野手,ロッテ,1900万円,19000000
2023,木村　文紀,34,外野手,日本ハム,1900万円,19000000
2023,山﨑　剛,27,内野手,楽天,1900万円,19000000
2023,椎野　新,27,投手,ソフトバンク,1900万円,19000000
2023,吉田　凌,25,投手,オリックス,1900万円,19000000
2023,岡田　俊哉,31,投手,中日,1900万円,19000000
2023,根尾　昂,22,投手,中日,1850万円,18500000
2023,和田　康士朗,24,外野手,ロッテ,1800万円,18000000
2023,北條　史也,28,内野手,阪神,1800万円,18000000
2023,植田　海,26,内野手,阪神,1800万円,18000000
2023,増田　陸,22,内野手,巨人,1800万円,18000000
2023,藤田　一也,40,内野手,DeNA,1800万円,18000000
2023,石川　慎吾,29,外野手,巨人,1800万円,18000000
2023,戸根　千明,30,投手,広島,1800万円,18000000
2023,種市　篤暉,24,投手,ロッテ,1800万円,18000000
2023,熊谷　敬宥,27,内野手,阪神,1750万円,17500000
2023,岡田　明丈,29,投手,広島,1750万円,17500000
2023,小林　慶祐,30,投手,阪神,1700万円,17000000
2023,齋藤　友貴哉,28,投手,日本ハム,1700万円,17000000
2023,廣岡　大志,25,内野手,巨人,1700万円,17000000
2023,北村　拓己,27,内野手,巨人,1700万円,17000000
2023,村西　良太,25,投手,オリックス,1700万円,17000000
2023,鈴木　康平,29,投手,オリックス,1700万円,17000000
2023,宇田川　優希,24,投手,オリックス,1700万円,17000000
2023,川瀬　晃,25,内野手,ソフトバンク,1700万円,17000000
2023,石川　亮,27,捕手,オリックス,1700万円,17000000
2023,太田　椋,22,内野手,オリックス,1700万円,17000000
2023,東妻　勇輔,26,投手,ロッテ,1700万円,17000000
2023,廣畑　敦也,25,投手,ロッテ,1700万円,17000000
2023,仲地　礼亜,22,投手,中日,1600万円,16000000
2023,立野　和明,24,投手,日本ハム,1600万円,16000000
2023,渡邉　雄大,31,投手,阪神,1600万円,16000000
2023,池田　隆英,28,投手,日本ハム,1600万円,16000000
2023,森下　翔太,22,外野手,阪神,1600万円,16000000
2023,荘司　康誠,22,投手,楽天,1600万円,16000000
2023,佐藤　隼輔,23,投手,西武,1600万円,16000000
2023,岸田　行倫,26,捕手,巨人,1600万円,16000000
2023,田中　俊太,29,内野手,DeNA,1600万円,16000000
2023,蝦名　達夫,25,外野手,DeNA,1600万円,16000000
2023,蛭間　拓哉,22,外野手,西武,1600万円,16000000
2023,曽谷　龍平,22,投手,オリックス,1600万円,16000000
2023,杉山　一樹,25,投手,ソフトバンク,1600万円,16000000
2023,薮田　和樹,30,投手,広島,1600万円,16000000
2023,吉村　貢司郎,25,投手,ヤクルト,1600万円,16000000
2023,松本　竜也,23,投手,広島,1600万円,16000000
2023,内山　壮真,20,捕手,ヤクルト,1600万円,16000000
2023,椋木　蓮,23,投手,オリックス,1600万円,16000000
