順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
162,辛島　航,33,投手,楽天,8000万円,80000000
163,今井　達也,25,投手,西武,8000万円,80000000
164,辰己　涼介,27,外野手,楽天,8000万円,80000000
165,佐々木　朗希,22,投手,ロッテ,8000万円,80000000
166,Ｃ．Ｃ．メルセデス,30,投手,ロッテ,8000万円,80000000
167,大貫　晋一,30,投手,DeNA,7700万円,77000000
168,Ｊ．ミエセス,28,外野手,阪神,7500万円,75000000
169,Ｊ．ヤン,27,投手,西武,7500万円,75000000
170,戸柱　恭孝,33,捕手,DeNA,7500万円,75000000
171,嶺井　博希,32,捕手,ソフトバンク,7500万円,75000000
172,杉本　裕太郎,32,外野手,オリックス,7500万円,75000000
173,岡林　勇希,22,外野手,中日,7300万円,73000000
174,紅林　弘太郎,22,内野手,オリックス,7200万円,72000000
175,唐川　侑己,34,投手,ロッテ,7150万円,71500000
176,玉井　大翔,31,投手,日本ハム,7100万円,71000000
177,木浪　聖也,29,内野手,阪神,7100万円,71000000
178,塩見　泰隆,30,外野手,ヤクルト,7100万円,71000000
179,藤嶋　健人,25,投手,中日,7000万円,70000000
180,田村　龍弘,29,捕手,ロッテ,7000万円,70000000
181,坂本　誠志郎,30,捕手,阪神,7000万円,70000000
182,岡　大海,32,外野手,ロッテ,7000万円,70000000
183,Ａ．ディカーソン,33,外野手,中日,7000万円,70000000
184,大和（前田　大和）,36,内野手,DeNA,7000万円,70000000
185,金子　侑司,33,外野手,西武,7000万円,70000000
186,山﨑　颯一郎,25,投手,オリックス,7000万円,70000000
187,松本　裕樹,27,投手,ソフトバンク,7000万円,70000000
188,島内　颯太郎,27,投手,広島,7000万円,70000000
189,木下　拓哉,32,捕手,中日,6800万円,68000000
190,野間　峻祥,31,外野手,広島,6800万円,68000000
191,高橋　周平,30,内野手,中日,6750万円,67500000
192,石川　雅規,44,投手,ヤクルト,6750万円,67500000
193,村上　頌樹,25,投手,阪神,6700万円,67000000
194,大竹　耕太郎,28,投手,阪神,6700万円,67000000
195,角中　勝也,36,外野手,ロッテ,6600万円,66000000
196,津森　宥紀,26,投手,ソフトバンク,6600万円,66000000
197,加藤　豪将,29,内野手,日本ハム,6500万円,65000000
198,伊藤　光,34,捕手,DeNA,6500万円,65000000
199,松山　竜平,38,外野手,広島,6500万円,65000000
200,Ｄ．ヘルナンデス,27,投手,ソフトバンク,6400万円,64000000
201,堂林　翔太,32,内野手,広島,6400万円,64000000
202,栗原　陵矢,27,内野手,ソフトバンク,6300万円,63000000
203,髙橋　宏斗,21,投手,中日,6300万円,63000000
204,関根　大気,28,外野手,DeNA,6100万円,61000000
205,加治屋　蓮,32,投手,阪神,6000万円,60000000
206,茂木　栄五郎,30,内野手,楽天,6000万円,60000000
207,阿部　翔太,31,投手,オリックス,6000万円,60000000
208,福田　周平,31,外野手,オリックス,6000万円,60000000
209,松本　航,27,投手,西武,5800万円,58000000
210,阿部　寿樹,34,内野手,楽天,5800万円,58000000
211,森原　康平,32,投手,DeNA,5700万円,57000000
212,大勢（翁田　大勢）,24,投手,巨人,5600万円,56000000
213,酒居　知史,31,投手,楽天,5600万円,56000000
214,藤井　皓哉,27,投手,ソフトバンク,5600万円,56000000
215,矢崎　拓也,29,投手,広島,5600万円,56000000
216,安田　尚憲,24,内野手,ロッテ,5500万円,55000000
217,大関　友久,26,投手,ソフトバンク,5500万円,55000000
218,中﨑　翔太,31,投手,広島,5500万円,55000000
219,安達　了一,36,内野手,オリックス,5500万円,55000000
220,濵口　遥大,29,投手,DeNA,5400万円,54000000
221,小園　海斗,23,内野手,広島,5400万円,54000000
222,岡島　豪郎,34,外野手,楽天,5300万円,53000000
223,杉浦　稔大,32,投手,日本ハム,5200万円,52000000
224,柴田　竜拓,30,内野手,DeNA,5200万円,52000000
225,木澤　尚文,25,投手,ヤクルト,5200万円,52000000
226,種市　篤暉,25,投手,ロッテ,5200万円,52000000
227,山﨑　伊織,25,投手,巨人,5100万円,51000000
228,上茶谷　大河,27,投手,DeNA,5100万円,51000000
229,清水　達也,24,投手,中日,5000万円,50000000
230,宮西　尚生,38,投手,日本ハム,5000万円,50000000
231,国吉　佑樹,32,投手,ロッテ,5000万円,50000000
232,河野　竜生,25,投手,日本ハム,5000万円,50000000
233,Ｏ．カリステ,32,内野手,中日,5000万円,50000000
234,森　唯斗,32,投手,DeNA,5000万円,50000000
235,京田　陽太,29,内野手,DeNA,5000万円,50000000
236,大田　泰示,33,外野手,DeNA,5000万円,50000000
237,田中　広輔,34,内野手,広島,5000万円,50000000
238,東條　大樹,32,投手,ロッテ,5000万円,50000000
239,才木　浩人,25,投手,阪神,5000万円,50000000
240,松葉　貴大,33,投手,中日,5000万円,50000000
241,島本　浩也,31,投手,阪神,4800万円,48000000
242,野村　佑希,23,内野手,日本ハム,4800万円,48000000
243,太田　光,27,捕手,楽天,4800万円,48000000
244,宇田川　優希,25,投手,オリックス,4800万円,48000000
245,高橋　奎二,26,投手,ヤクルト,4800万円,48000000
246,湯浅　京己,24,投手,阪神,4700万円,47000000
247,池田　隆英,29,投手,日本ハム,4600万円,46000000
248,細川　成也,25,外野手,中日,4500万円,45000000
249,Ａ．エスピノーザ,26,投手,オリックス,4500万円,45000000
250,周東　佑京,28,内野手,ソフトバンク,4500万円,45000000
251,野村　祐輔,34,投手,広島,4450万円,44500000
252,清宮　幸太郎,24,内野手,日本ハム,4400万円,44000000
253,入江　大生,25,投手,DeNA,4400万円,44000000
254,秋山　拓巳,32,投手,阪神,4400万円,44000000
255,佐藤　都志也,26,捕手,ロッテ,4350万円,43500000
256,山口　航輝,23,外野手,ロッテ,4300万円,43000000
257,高橋　礼,28,投手,巨人,4300万円,43000000
258,山田　修義,32,投手,オリックス,4300万円,43000000
259,三森　大貴,25,内野手,ソフトバンク,4300万円,43000000
260,福　敬登,31,投手,中日,4300万円,43000000
261,堀　瑞輝,25,投手,日本ハム,4200万円,42000000
262,今村　信貴,30,投手,巨人,4200万円,42000000
263,近藤　大亮,32,投手,巨人,4200万円,42000000
264,岩下　大輝,27,投手,ロッテ,4200万円,42000000
265,宇佐見　真吾,30,捕手,中日,4100万円,41000000
266,上本　崇司,33,内野手,広島,4100万円,41000000
267,長岡　秀樹,22,内野手,ヤクルト,4100万円,41000000
268,勝野　昌慶,26,投手,中日,4000万円,40000000
269,上原　健太,30,投手,日本ハム,4000万円,40000000
270,石井　大智,26,投手,阪神,4000万円,40000000
271,隅田　知一郎,24,投手,西武,4000万円,40000000
272,甲斐野　央,27,投手,西武,4000万円,40000000
273,長野　久義,39,外野手,巨人,4000万円,40000000
274,山下　舜平大,21,投手,オリックス,4000万円,40000000
275,板東　湧梧,28,投手,ソフトバンク,4000万円,40000000
276,大城　滉二,30,内野手,オリックス,4000万円,40000000
277,西村　天裕,30,投手,ロッテ,4000万円,40000000
278,砂田　毅樹,28,投手,中日,3800万円,38000000
279,森下　翔太,23,外野手,阪神,3800万円,38000000
280,神里　和毅,30,外野手,DeNA,3800万円,38000000
281,西　純矢,22,投手,阪神,3800万円,38000000
282,坂本　光士郎,29,投手,ロッテ,3800万円,38000000
283,渡邉　諒,28,内野手,阪神,3750万円,37500000
284,楠本　泰史,28,外野手,DeNA,3700万円,37000000
285,田中　正義,29,投手,日本ハム,3600万円,36000000
286,森脇　亮介,31,投手,西武,3600万円,36000000
287,比嘉　幹貴,41,投手,オリックス,3600万円,36000000
288,小木田　敦也,25,投手,オリックス,3600万円,36000000
289,Ｒ．コルニエル,28,投手,広島,3600万円,36000000
290,Ｔ－岡田（岡田　貴弘）,36,外野手,オリックス,3600万円,36000000
291,石川　直也,27,投手,日本ハム,3500万円,35000000
292,馬場　皐輔,28,投手,巨人,3500万円,35000000
293,ボー・タカハシ,27,投手,西武,3500万円,35000000
294,炭谷　銀仁朗,36,捕手,西武,3500万円,35000000
295,森浦　大輔,25,投手,広島,3500万円,35000000
296,高梨　裕稔,32,投手,ヤクルト,3500万円,35000000
297,小田　裕也,34,外野手,オリックス,3500万円,35000000
298,二木　康太,28,投手,ロッテ,3500万円,35000000
299,田島　慎二,34,投手,中日,3500万円,35000000
300,小野　郁,27,投手,ロッテ,3500万円,35000000
301,柳町　達,26,外野手,ソフトバンク,3400万円,34000000
302,今野　龍太,28,投手,ヤクルト,3400万円,34000000
303,桐敷　拓馬,24,投手,阪神,3300万円,33000000
304,北山　亘基,24,投手,日本ハム,3300万円,33000000
305,早川　隆久,25,投手,楽天,3300万円,33000000
306,水上　由伸,25,投手,西武,3300万円,33000000
307,重信　慎之介,30,外野手,巨人,3300万円,33000000
308,山崎　晃大朗,30,外野手,ヤクルト,3300万円,33000000
309,秋広　優人,21,内野手,巨人,3250万円,32500000
310,及川　雅貴,22,投手,阪神,3200万円,32000000
311,井上　晴哉,34,内野手,ロッテ,3200万円,32000000
312,藤原　恭大,23,外野手,ロッテ,3200万円,32000000
313,鈴木　翔天,27,投手,楽天,3200万円,32000000
314,西口　直人,27,投手,楽天,3200万円,32000000
315,大西　広樹,26,投手,ヤクルト,3200万円,32000000
316,原口　文仁,32,内野手,阪神,3100万円,31000000
317,門脇　誠,23,内野手,巨人,3100万円,31000000
318,小郷　裕哉,27,外野手,楽天,3100万円,31000000
319,鈴木　健矢,26,投手,日本ハム,3000万円,30000000
320,石川　昂弥,22,内野手,中日,3000万円,30000000
321,島田　海吏,28,外野手,阪神,3000万円,30000000
322,石井　一成,29,内野手,日本ハム,3000万円,30000000
323,赤星　優志,24,投手,巨人,3000万円,30000000
324,荘司　康誠,23,投手,楽天,3000万円,30000000
325,佐々木　千隼,29,投手,DeNA,3000万円,30000000
326,與座　海人,28,投手,西武,3000万円,30000000
327,菊地　大稀,24,投手,巨人,3000万円,30000000
328,小林　誠司,34,捕手,巨人,3000万円,30000000
329,佐藤　隼輔,24,投手,西武,3000万円,30000000
330,大津　亮介,25,投手,ソフトバンク,3000万円,30000000
331,田浦　文丸,24,投手,ソフトバンク,3000万円,30000000
332,大道　温貴,25,投手,広島,3000万円,30000000
333,原　樹理,30,投手,ヤクルト,3000万円,30000000
334,星　知弥,29,投手,ヤクルト,3000万円,30000000
335,小澤　怜史,26,投手,ヤクルト,3000万円,30000000
336,川端　慎吾,36,内野手,ヤクルト,3000万円,30000000
337,東妻　勇輔,27,投手,ロッテ,3000万円,30000000
338,浜地　真澄,25,投手,阪神,3000万円,30000000
339,愛斗（武田　愛斗）,26,外野手,ロッテ,2900万円,29000000
340,上川畑　大悟,27,内野手,日本ハム,2900万円,29000000
341,梅野　雄吾,25,投手,中日,2800万円,28000000
342,石川　慎吾,30,外野手,ロッテ,2800万円,28000000
343,髙部　瑛斗,26,外野手,ロッテ,2800万円,28000000
344,岩嵜　翔,34,投手,中日,2800万円,28000000
345,渡辺　翔太,23,投手,楽天,2800万円,28000000
346,大江　竜聖,25,投手,巨人,2800万円,28000000
347,古賀　悠斗,24,捕手,西武,2800万円,28000000
348,鈴木　康平,30,投手,巨人,2750万円,27500000
349,清水　優心,27,捕手,日本ハム,2700万円,27000000
350,泉　圭輔,27,投手,巨人,2700万円,27000000
351,本田　圭佑,30,投手,西武,2700万円,27000000
352,村林　一輝,26,内野手,楽天,2700万円,27000000
353,ケムナ　誠,28,投手,広島,2700万円,27000000
354,川瀬　晃,26,内野手,ソフトバンク,2700万円,27000000
355,平良　拳太郎,28,投手,DeNA,2600万円,26000000
356,西浦　直亨,32,内野手,DeNA,2600万円,26000000
357,磯村　嘉孝,31,捕手,広島,2600万円,26000000
358,内山　壮真,21,捕手,ヤクルト,2600万円,26000000
359,黒木　優太,29,投手,日本ハム,2500万円,25000000
360,和田　康士朗,25,外野手,ロッテ,2500万円,25000000
361,中島　卓也,33,内野手,日本ハム,2500万円,25000000
362,淺間　大基,27,外野手,日本ハム,2500万円,25000000
363,畠　世周,29,投手,巨人,2500万円,25000000
364,松原　聖弥,29,外野手,巨人,2500万円,25000000
365,野口　智哉,24,内野手,オリックス,2500万円,25000000
366,遠藤　淳志,24,投手,広島,2500万円,25000000
367,末包　昇大,27,外野手,広島,2500万円,25000000
368,山﨑　剛,28,内野手,楽天,2400万円,24000000
369,東　晃平,24,投手,オリックス,2400万円,24000000
370,齋藤　綱記,27,投手,中日,2300万円,23000000
371,加藤　翔平,33,外野手,中日,2300万円,23000000
372,髙橋　優貴,27,投手,巨人,2300万円,23000000
373,船迫　大雅,27,投手,巨人,2300万円,23000000
374,平内　龍太,25,投手,巨人,2300万円,23000000
375,瀧中　瞭太,29,投手,楽天,2300万円,23000000
376,若林　晃弘,30,内野手,巨人,2300万円,23000000
377,山本　祐大,25,捕手,DeNA,2300万円,23000000
378,鈴木　将平,25,外野手,西武,2300万円,23000000
379,西野　真弘,33,内野手,オリックス,2300万円,23000000
380,野村　勇,27,内野手,ソフトバンク,2300万円,23000000
381,中山　礼都,21,内野手,巨人,2260万円,22600000
382,福田　俊,27,投手,日本ハム,2200万円,22000000
383,江越　大賀,31,外野手,日本ハム,2200万円,22000000
384,柘植　世那,26,捕手,西武,2200万円,22000000
385,佐藤　龍世,27,内野手,西武,2200万円,22000000
386,蛭間　拓哉,23,外野手,西武,2200万円,22000000
387,立岡　宗一郎,33,外野手,巨人,2200万円,22000000
388,本田　仁海,24,投手,オリックス,2200万円,22000000
389,佐野　皓大,27,外野手,オリックス,2200万円,22000000
390,宮本　丈,28,内野手,ヤクルト,2200万円,22000000
391,岸田　行倫,27,捕手,巨人,2150万円,21500000
392,増田　大輝,30,内野手,巨人,2150万円,21500000
393,小幡　竜平,23,内野手,阪神,2100万円,21000000
394,後藤　駿太,31,外野手,中日,2100万円,21000000
395,田中　和基,29,外野手,楽天,2100万円,21000000
396,奥川　恭伸,22,投手,ヤクルト,2100万円,21000000
397,吉村　貢司郎,26,投手,ヤクルト,2100万円,21000000
398,塹江　敦哉,27,投手,広島,2100万円,21000000
399,茶野　篤政,24,外野手,オリックス,2100万円,21000000
400,京山　将弥,25,投手,DeNA,2050万円,20500000
401,二保　旭,33,投手,ロッテ,2025万円,20250000
402,中村　稔弥,27,投手,ロッテ,2000万円,20000000
403,松川　虎生,20,捕手,ロッテ,2000万円,20000000
404,中島　宏之,41,内野手,中日,2000万円,20000000
405,平沢　大河,26,内野手,ロッテ,2000万円,20000000
406,茶谷　健太,26,内野手,ロッテ,2000万円,20000000
407,山本　拓実,24,投手,日本ハム,2000万円,20000000
408,上林　誠知,28,外野手,中日,2000万円,20000000
409,坂本　裕哉,26,投手,DeNA,2000万円,20000000
410,佐々木　健,27,投手,西武,2000万円,20000000
411,笠谷　俊介,27,投手,ソフトバンク,2000万円,20000000
412,嘉弥真　新也,34,投手,ヤクルト,2000万円,20000000
413,廣岡　大志,26,内野手,オリックス,2000万円,20000000
414,宮川　哲,28,投手,ヤクルト,2000万円,20000000
415,濱田　太貴,23,外野手,ヤクルト,2000万円,20000000
416,福谷　浩司,33,投手,中日,2000万円,20000000
417,澤田　圭佑,29,投手,ロッテ,1940万円,19400000
418,友杉　篤輝,23,内野手,ロッテ,1900万円,19000000
419,龍空 （土田　龍空）,21,内野手,中日,1900万円,19000000
420,吉田　凌,26,投手,ロッテ,1900万円,19000000
421,田中　千晴,23,投手,巨人,1900万円,19000000
422,内　星龍,21,投手,楽天,1900万円,19000000
423,平沼　翔太,26,内野手,西武,1900万円,19000000
424,戸根　千明,31,投手,広島,1900万円,19000000
425,山足　達也,30,内野手,オリックス,1900万円,19000000
426,髙橋　遥人,28,投手,阪神,1850万円,18500000
427,伊藤　裕季也,27,内野手,楽天,1850万円,18500000
428,鈴木　昭汰,25,投手,ロッテ,1800万円,18000000
429,横山　陸人,22,投手,ロッテ,1800万円,18000000
430,植田　海,27,内野手,阪神,1800万円,18000000
431,郡司　裕也,26,捕手,日本ハム,1800万円,18000000
432,今川　優馬,27,外野手,日本ハム,1800万円,18000000
433,陽川　尚将,32,内野手,西武,1800万円,18000000
434,森　翔平,26,投手,広島,1800万円,18000000
435,宜保　翔,23,内野手,オリックス,1800万円,18000000
436,西田　明央,31,捕手,ヤクルト,1800万円,18000000
437,古賀　優大,25,捕手,ヤクルト,1800万円,18000000
438,松山　晋也,23,投手,中日,1750万円,17500000
439,熊谷　敬宥,28,内野手,阪神,1750万円,17500000
440,蝦名　達夫,26,外野手,DeNA,1750万円,17500000
441,矢野　雅哉,25,内野手,広島,1750万円,17500000
442,村松　開人,23,内野手,中日,1700万円,17000000
443,小野寺　暖,26,外野手,阪神,1700万円,17000000
444,横川　凱,23,投手,巨人,1700万円,17000000
445,石川　亮,28,捕手,オリックス,1700万円,17000000
446,北村　拓己,28,内野手,ヤクルト,1700万円,17000000
447,羽月　隆太郎,23,内野手,広島,1700万円,17000000
448,岸　潤一郎,27,外野手,西武,1650万円,16500000
449,池田　来翔,24,内野手,ロッテ,1600万円,16000000
450,上田　希由翔,22,内野手,ロッテ,1600万円,16000000
451,根本　悠楓,21,投手,日本ハム,1600万円,16000000
452,山本　泰寛,30,内野手,中日,1600万円,16000000
453,西舘　勇陽,22,投手,巨人,1600万円,16000000
454,古謝　樹,22,投手,楽天,1600万円,16000000
455,石川　達也,25,投手,DeNA,1600万円,16000000
456,武内　夏暉,22,投手,西武,1600万円,16000000
457,森　敬斗,22,内野手,DeNA,1600万円,16000000
458,度会　隆輝,21,外野手,DeNA,1600万円,16000000
459,渡部　健人,25,内野手,西武,1600万円,16000000
460,曽谷　龍平,23,投手,オリックス,1600万円,16000000
461,吉田　輝星,23,投手,オリックス,1600万円,16000000
462,常廣　羽也斗,22,投手,広島,1600万円,16000000
463,西舘　昂汰,22,投手,ヤクルト,1600万円,16000000
464,玉村　昇悟,22,投手,広島,1600万円,16000000
