順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
1,Ｒ．オスナ,29,投手,ソフトバンク,6億6500万円,665000000
2,坂本　勇人,35,内野手,巨人,6億円,600000000
3,村上　宗隆,24,内野手,ヤクルト,6億円,600000000
4,柳田　悠岐,35,外野手,ソフトバンク,5億7000万円,570000000
5,近藤　健介,30,外野手,ソフトバンク,5億5000万円,550000000
6,浅村　栄斗,33,内野手,楽天,5億円,500000000
7,山田　哲人,31,内野手,ヤクルト,5億円,500000000
8,岡本　和真,27,内野手,巨人,4億2000万円,420000000
9,菅野　智之,34,投手,巨人,4億円,400000000
10,有原　航平,31,投手,ソフトバンク,4億円,400000000
11,Ｇ．ポランコ,32,外野手,ロッテ,4億円,400000000
12,森　友哉,28,捕手,オリックス,4億円,400000000
13,Ｄ．サンタナ,31,外野手,ヤクルト,3億6500万円,365000000
14,Ｄ．バーヘイゲン,33,投手,日本ハム,3億5000万円,350000000
15,Ｄ．ビシエド,35,内野手,中日,3億5000万円,350000000
16,近本　光司,29,外野手,阪神,3億2000万円,320000000
17,加藤　貴之,31,投手,日本ハム,3億円,300000000
18,中田　翔,34,内野手,中日,3億円,300000000
19,則本　昂大,33,投手,楽天,3億円,300000000
20,山﨑　康晃,31,投手,DeNA,3億円,300000000
21,源田　壮亮,31,内野手,西武,3億円,300000000
22,Ｌ．モイネロ,28,投手,ソフトバンク,3億円,300000000
23,今宮　健太,32,内野手,ソフトバンク,3億円,300000000
24,西　勇輝,33,投手,阪神,3億円,300000000
25,大野　雄大,35,投手,中日,3億円,300000000
26,Ｊ．オスナ,31,内野手,ヤクルト,2億9800万円,298000000
27,大山　悠輔,29,内野手,阪神,2億8000万円,280000000
28,丸　佳浩,34,外野手,巨人,2億8000万円,280000000
29,山川　穂高,32,内野手,ソフトバンク,2億7000万円,270000000
30,髙橋　光成,27,投手,西武,2億6500万円,265000000
31,田中　将大,35,投手,楽天,2億6000万円,260000000
32,大島　洋平,38,外野手,中日,2億5000万円,250000000
33,平良　海馬,24,投手,西武,2億5000万円,250000000
34,菊池　涼介,34,内野手,広島,2億5000万円,250000000
35,増田　達至,35,投手,西武,2億4000万円,240000000
36,サイスニード,31,投手,ヤクルト,2億3100万円,231000000
37,Ｒ．マルティネス,27,投手,中日,2億3000万円,230000000
38,牧　秀悟,25,内野手,DeNA,2億3000万円,230000000
39,平野　佳寿,40,投手,オリックス,2億2000万円,220000000
40,岸　孝之,39,投手,楽天,2億1000万円,210000000
41,Ｊ．アギラー,33,内野手,西武,2億1000万円,210000000
42,甲斐　拓也,31,捕手,ソフトバンク,2億1000万円,210000000
43,青柳　晃洋,30,投手,阪神,2億1000万円,210000000
44,益田　直也,34,投手,ロッテ,2億円,200000000
45,山﨑　福也,31,投手,日本ハム,2億円,200000000
46,中村　奨吾,31,内野手,ロッテ,2億円,200000000
47,Ｆ．グリフィン,28,投手,巨人,2億円,200000000
48,梶谷　隆幸,35,外野手,巨人,2億円,200000000
49,Ｒ．オドーア,30,外野手,巨人,2億円,200000000
50,宮﨑　敏郎,35,内野手,DeNA,2億円,200000000
51,Ｔ．オースティン,32,外野手,DeNA,2億円,200000000
52,和田　毅,43,投手,ソフトバンク,2億円,200000000
53,澤村　拓一,35,投手,ロッテ,2億円,200000000
54,岩崎　優,32,投手,阪神,2億円,200000000
55,Ｊ．コルデロ,32,投手,ロッテ,1億8000万円,180000000
56,戸郷　翔征,23,投手,巨人,1億8000万円,180000000
57,大瀬良　大地,32,投手,広島,1億8000万円,180000000
58,Ｍ．ゴンザレス,35,内野手,オリックス,1億8000万円,180000000
59,Ｊ．Ｂ．ウェンデルケン,31,投手,DeNA,1億7500万円,175000000
60,田口　麗斗,28,投手,ヤクルト,1億7500万円,175000000
61,中村　悠平,33,捕手,ヤクルト,1億7000万円,170000000
62,Ｓ．ノイジー,29,外野手,阪神,1億6500万円,165000000
63,梅野　隆太郎,32,捕手,阪神,1億6000万円,160000000
64,外崎　修汰,31,内野手,西武,1億6000万円,160000000
65,宮城　大弥,22,投手,オリックス,1億6000万円,160000000
66,小川　泰弘,33,投手,ヤクルト,1億6000万円,160000000
67,伊藤　将司,27,投手,阪神,1億6000万円,160000000
68,佐野　恵太,29,外野手,DeNA,1億5500万円,155000000
69,佐藤　輝明,25,内野手,阪神,1億5000万円,150000000
70,中野　拓夢,27,内野手,阪神,1億5000万円,150000000
71,Ｎ．ソト,35,内野手,ロッテ,1億5000万円,150000000
72,Ａ．アブレイユ,28,投手,西武,1億5000万円,150000000
73,中村　剛也,40,内野手,西武,1億5000万円,150000000
74,又吉　克樹,33,投手,ソフトバンク,1億5000万円,150000000
75,東浜　巨,33,投手,ソフトバンク,1億5000万円,150000000
76,武田　翔太,30,投手,ソフトバンク,1億5000万円,150000000
77,石山　泰稚,35,投手,ヤクルト,1億5000万円,150000000
78,中村　晃,34,外野手,ソフトバンク,1億5000万円,150000000
79,秋山　翔吾,35,外野手,広島,1億5000万円,150000000
80,柳　裕也,29,投手,中日,1億4800万円,148000000
81,Ｊ．ゲラ,28,投手,阪神,1億4700万円,147000000
82,Ａ．ジャクソン,27,投手,DeNA,1億4500万円,145000000
83,Ｆ．レイエス,28,外野手,日本ハム,1億4400万円,144000000
84,鈴木　大地,34,内野手,楽天,1億4000万円,140000000
85,九里　亜蓮,32,投手,広島,1億4000万円,140000000
86,青木　宣親,42,外野手,ヤクルト,1億4000万円,140000000
87,美馬　学,37,投手,ロッテ,1億4000万円,140000000
88,Ａ．マチャド,30,投手,オリックス,1億3500万円,135000000
89,大城　卓三,31,捕手,巨人,1億3000万円,130000000
90,森下　暢仁,26,投手,広島,1億3000万円,130000000
91,清水　昇,27,投手,ヤクルト,1億3000万円,130000000
92,Ｌ．セデーニョ,25,内野手,オリックス,1億3000万円,130000000
93,Ｃ．スチュワート・ジュニア,24,投手,ソフトバンク,1億2800万円,128000000
94,Ｔ．ハッチ,29,投手,広島,1億2500万円,125000000
95,坂倉　将吾,25,捕手,広島,1億2500万円,125000000
96,Ｊ．ビーズリー,28,投手,阪神,1億2000万円,120000000
97,Ｐ．マーフィー,28,投手,日本ハム,1億2000万円,120000000
98,Ｂ．ロドリゲス,32,投手,日本ハム,1億2000万円,120000000
99,Ａ．マルティネス,27,捕手,日本ハム,1億2000万円,120000000
100,Ｋ．ケラー,30,投手,巨人,1億2000万円,120000000
101,三嶋　一輝,33,投手,DeNA,1億2000万円,120000000
102,高梨　雄平,31,投手,巨人,1億2000万円,120000000
103,島内　宏明,34,外野手,楽天,1億2000万円,120000000
104,桑原　将志,30,外野手,DeNA,1億2000万円,120000000
105,石川　柊太,32,投手,ソフトバンク,1億2000万円,120000000
106,若月　健矢,28,捕手,オリックス,1億2000万円,120000000
107,西川　龍馬,29,外野手,オリックス,1億2000万円,120000000
108,Ｊ．シャイナー,28,内野手,広島,1億2000万円,120000000
109,Ａ．ケイ,29,投手,DeNA,1億1500万円,115000000
110,栗林　良吏,27,投手,広島,1億1500万円,115000000
111,Ｒ．ウィック,31,投手,DeNA,1億1360万円,113600000
112,Ｅ．ロドリゲス,26,投手,ヤクルト,1億1200万円,112000000
113,伊藤　大海,26,投手,日本ハム,1億1000万円,110000000
114,Ａ．ザバラ,27,投手,日本ハム,1億1000万円,110000000
115,石川　歩,35,投手,ロッテ,1億1000万円,110000000
116,Ａ．スティーブンソン,29,外野手,日本ハム,1億1000万円,110000000
117,松本　剛,30,外野手,日本ハム,1億1000万円,110000000
118,伊勢　大夢,26,投手,DeNA,1億1000万円,110000000
119,Ｃ．トーマス,29,外野手,オリックス,1億1000万円,110000000
120,栗山　巧,40,外野手,西武,1億800万円,108000000
121,東　克樹,28,投手,DeNA,1億500万円,105000000
122,小島　和哉,27,投手,ロッテ,1億500万円,105000000
123,Ｊ．フェルナンデス,27,投手,ロッテ,1億円,100000000
124,Ｈ．メヒア,27,投手,中日,1億円,100000000
125,Ｍ．フェリス,30,投手,中日,1億円,100000000
126,伏見　寅威,33,捕手,日本ハム,1億円,100000000
127,Ｃ．ポンセ,29,投手,楽天,1億円,100000000
128,中川　皓太,30,投手,巨人,1億円,100000000
129,石田　健大,31,投手,DeNA,1億円,100000000
130,Ｙ．メンデス,29,投手,巨人,1億円,100000000
131,Ｆ．コルデロ,29,外野手,西武,1億円,100000000
132,床田　寛樹,29,投手,広島,1億円,100000000
133,牧原　大成,31,内野手,ソフトバンク,1億円,100000000
134,Ａ．ウォーカー,32,外野手,ソフトバンク,1億円,100000000
135,岩貞　祐太,32,投手,阪神,1億円,100000000
136,涌井　秀章,37,投手,中日,1億円,100000000
137,祖父江　大輔,36,投手,中日,1億円,100000000
138,Ｊ．エスパーダ,27,投手,ヤクルト,9940万円,99400000
139,田嶋　大樹,27,投手,オリックス,9500万円,95000000
140,Ｌ．カスティーヨ,29,投手,オリックス,9500万円,95000000
141,小笠原　慎之介,26,投手,中日,9300万円,93000000
142,荻野　貴司,38,外野手,ロッテ,9000万円,90000000
143,Ａ．バルドナード,31,投手,巨人,9000万円,90000000
144,宋　家豪,31,投手,楽天,9000万円,90000000
145,平井　克典,32,投手,西武,9000万円,90000000
146,吉川　尚輝,29,内野手,巨人,9000万円,90000000
147,Ｍ．フランコ,31,内野手,楽天,9000万円,90000000
148,山岡　泰輔,28,投手,オリックス,9000万円,90000000
149,中川　圭太,27,内野手,オリックス,9000万円,90000000
150,頓宮　裕真,27,捕手,オリックス,8800万円,88000000
151,Ｔ．ハーン,29,投手,広島,8800万円,88000000
152,會澤　翼,35,捕手,広島,8760万円,87600000
153,小深田　大翔,28,内野手,楽天,8500万円,85000000
154,西野　勇士,33,投手,ロッテ,8500万円,85000000
155,宗　佑磨,27,内野手,オリックス,8300万円,83000000
156,Ｍ．レイノルズ,33,内野手,広島,8250万円,82500000
157,Ｍ．ヤフーレ,25,投手,ヤクルト,8100万円,81000000
158,藤岡　裕大,30,内野手,ロッテ,8000万円,80000000
159,糸原　健斗,31,内野手,阪神,8000万円,80000000
160,万波　中正,23,外野手,日本ハム,8000万円,80000000
161,Ｎ．ターリー,34,投手,楽天,8000万円,80000000
