順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
100,Ｊ．Ｂ．ウェンデルケン,30,投手,DeNA,1億2000万円,120000000
101,牧　秀悟,24,内野手,DeNA,1億2000万円,120000000
102,島内　宏明,33,外野手,楽天,1億2000万円,120000000
103,桑原　将志,29,外野手,DeNA,1億2000万円,120000000
104,西川　龍馬,28,外野手,広島,1億2000万円,120000000
105,高梨　雄平,30,投手,巨人,1億1000万円,110000000
106,Ｙ．ロペス,30,投手,巨人,1億1000万円,110000000
107,伊藤　光,33,捕手,DeNA,1億1000万円,110000000
108,Ｃ．スチュワート・ジュニア,23,投手,ソフトバンク,1億1000万円,110000000
109,田嶋　大樹,26,投手,オリックス,1億1000万円,110000000
110,森下　暢仁,25,投手,広島,1億1000万円,110000000
111,Ｊ．ビーズリー,27,投手,阪神,1億960万円,109600000
112,柳　裕也,28,投手,中日,1億800万円,108000000
113,Ｎ．ターリー,33,投手,広島,1億600万円,106000000
114,祖父江　大輔,35,投手,中日,1億円,100000000
115,荻野　貴司,37,外野手,ロッテ,1億円,100000000
116,Ｍ．バニュエロス,32,投手,楽天,1億円,100000000
117,宋　家豪,30,投手,楽天,1億円,100000000
118,Ｆ．グリフィン,27,投手,巨人,1億円,100000000
119,炭谷　銀仁朗,35,捕手,楽天,1億円,100000000
120,小林　誠司,33,捕手,巨人,1億円,100000000
121,Ｍ．フランコ,30,内野手,楽天,1億円,100000000
122,Ｊ．ティノコ,27,投手,西武,1億円,100000000
123,Ｃ．ギッテンス,29,内野手,楽天,1億円,100000000
124,Ａ．ウォーカー,31,外野手,巨人,1億円,100000000
125,清水　昇,26,投手,ヤクルト,1億円,100000000
126,Ｄ．ピーターズ,30,投手,ヤクルト,1億円,100000000
127,唐川　侑己,33,投手,ロッテ,1億円,100000000
128,岩貞　祐太,31,投手,阪神,1億円,100000000
129,涌井　秀章,36,投手,中日,1億円,100000000
130,栗林　良吏,26,投手,広島,9500万円,95000000
131,坂倉　将吾,24,捕手,広島,9500万円,95000000
132,伊勢　大夢,25,投手,DeNA,9200万円,92000000
133,Ｃ．メネズ,27,投手,日本ハム,9000万円,90000000
134,戸郷　翔征,22,投手,巨人,9000万円,90000000
135,Ｄ．マキノン,28,内野手,西武,9000万円,90000000
136,Ｊ．コットン,31,投手,オリックス,9000万円,90000000
137,石川　雅規,43,投手,ヤクルト,9000万円,90000000
138,Ｆ．シュウィンデル,30,内野手,オリックス,9000万円,90000000
139,Ｌ．カスティーヨ,28,投手,ロッテ,9000万円,90000000
140,大貫　晋一,29,投手,DeNA,8800万円,88000000
141,田口　麗斗,27,投手,ヤクルト,8800万円,88000000
142,秋山　拓巳,31,投手,阪神,8800万円,88000000
143,Ｒ．エスピナル,31,投手,ヤクルト,8700万円,87000000
144,松本　剛,29,外野手,日本ハム,8600万円,86000000
145,塩見　泰隆,29,外野手,ヤクルト,8600万円,86000000
146,伊藤　大海,25,投手,日本ハム,8500万円,85000000
147,佐藤　輝明,24,内野手,阪神,8500万円,85000000
148,Ｂ．ケラー,28,投手,阪神,8160万円,81600000
149,伊藤　将司,26,投手,阪神,8000万円,80000000
150,Ａ．マルティネス,26,捕手,日本ハム,8000万円,80000000
151,糸原　健斗,30,内野手,阪神,8000万円,80000000
152,辛島　航,32,投手,楽天,8000万円,80000000
153,平井　克典,31,投手,西武,8000万円,80000000
154,大城　卓三,30,捕手,巨人,8000万円,80000000
155,大和（前田　大和）,35,内野手,DeNA,8000万円,80000000
156,Ｍ．ペイトン,31,外野手,西武,8000万円,80000000
157,宮城　大弥,21,投手,オリックス,8000万円,80000000
158,牧原　大成,30,内野手,ソフトバンク,8000万円,80000000
159,佐々木　朗希,21,投手,ロッテ,8000万円,80000000
160,宗　佑磨,26,内野手,オリックス,7800万円,78000000
161,Ｄ．アンダーソン,29,投手,広島,7700万円,77000000
162,Ｍ．デビッドソン,32,内野手,広島,7700万円,77000000
163,中川　皓太,29,投手,巨人,7500万円,75000000
164,福田　周平,30,外野手,オリックス,7500万円,75000000
165,茂木　栄五郎,29,内野手,楽天,7400万円,74000000
166,山岡　泰輔,27,投手,オリックス,7200万円,72000000
167,Ｔ－岡田（岡田　貴弘）,35,外野手,オリックス,7200万円,72000000
168,杉本　裕太郎,31,外野手,オリックス,7200万円,72000000
169,田村　龍弘,28,捕手,ロッテ,7000万円,70000000
170,中野　拓夢,26,内野手,阪神,7000万円,70000000
171,吉川　尚輝,28,内野手,巨人,7000万円,70000000
172,銀次（赤見内　銀次）,35,内野手,楽天,7000万円,70000000
173,西川　遥輝,30,外野手,楽天,7000万円,70000000
174,安達　了一,35,内野手,オリックス,7000万円,70000000
